,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E,B25140C_004E,B25140F_001E,B25140F_005E,B25140E_005E,B25140G_003E,B25140A_007E,B25140G_008E,B25140B_007E,B25140A_004E,B25140E_001E,B25140A_001E,B25140G_005E,B25140_004E,B25140_005E,B25140I_001E,B25140B_003E,B25140G_004E,B25140A_005E,B25140I_005E,B25140B_005E,B25140D_005E,B25140C_003E,B25140D_004E,B25140D_003E,B25140E_007E,B25140E_009E,B25140H_009E,B25140F_003E,B25140_008E,B25140_009E,B25140E_008E,B25140C_009E,B25140_007E,B25140H_001E,B25140C_008E,B25140D_007E,B25140G_009E,B25140C_005E,B25140H_004E,B25140G_007E,B25140A_003E,B25140_003E,B25140A_008E,B25140H_005E,B25140C_007E,B25140F_004E,B25140_001E,B25140F_007E,B25140A_009E,B25140G_001E,B25140H_007E,B25140B_001E,B25140I_007E,B25140E_003E,B25140F_008E,B25140H_008E,B25140C_001E,B25140E_004E,B25140F_009E,B25140D_001E,B25140D_009E,B25140H_003E,B25140B_009E,B25140B_004E,B25140I_009E,B25140B_008E,B25140D_008E,B25140I_003E,B25140I_008E,B25140I_004E
0,06,010101,0,0,25,40,0,0,0,34,14,0,0,0,0,0,113,0,0,0,0,0,0,79,0,108,0,0,0,0,0,0,25,46,533,0,25,0,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0,0,25,0,25,25,0,0,0,0,1212,0,0,90,0,26,0,0,0,0,67,0,0,342,0,25,0,0,0,0,0,0,0,0
1,06,010102,0,0,55,22,11,0,0,50,8,0,0,11,0,13,302,0,0,0,0,53,79,252,0,15,0,0,0,0,0,0,34,0,369,0,55,0,28,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,361,0,0,0,0,34,0,58,79,0,0,0,0,907,0,0,5,0,162,0,0,0,0,0,0,0,356,0,58,0,0,0,0,0,0,0,0
2,06,010201,38,0,19,36,59,0,20,94,74,12,0,0,8,82,535,0,12,0,41,11,29,310,0,0,0,0,0,53,0,0,19,0,1022,0,19,0,148,0,0,0,0,0,0,0,0,0,0,0,8,0,41,8,0,0,53,991,0,0,0,0,19,0,101,101,41,0,0,0,1375,0,8,180,53,15,0,0,0,41,0,0,0,158,0,101,0,0,0,0,0,0,0,0
3,06,010202,8,0,25,0,10,0,11,143,0,0,14,0,0,38,338,10,0,0,61,18,0,91,0,86,0,0,20,61,0,0,25,0,708,0,25,0,55,0,0,0,0,0,0,0,0,18,0,0,0,0,53,0,0,0,75,708,0,0,0,0,25,14,25,63,53,0,0,0,1091,0,0,58,61,56,0,0,0,53,0,0,0,183,0,25,0,0,0,0,0,0,0,0
4,06,010300,0,0,87,18,12,0,35,73,61,39,0,0,0,34,499,42,18,0,37,30,13,255,76,0,0,0,0,37,0,0,0,0,1402,0,87,0,279,0,0,0,0,0,0,76,11,45,0,0,0,0,37,0,0,0,76,1347,0,39,0,0,0,0,0,121,37,0,0,0,2143,0,0,203,37,0,0,0,0,37,76,0,0,462,0,0,0,0,0,0,0,76,0,76
5,06,010401,66,0,36,0,23,0,39,42,9,0,7,7,0,9,316,26,0,0,27,25,0,109,0,52,0,0,0,25,0,0,36,0,530,0,36,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,34,530,0,9,0,0,36,0,52,52,18,0,0,0,944,0,0,165,25,0,0,0,0,18,0,0,0,197,0,52,0,0,0,0,9,0,0,0
6,06,010402,45,0,19,20,30,0,0,64,0,0,0,0,0,39,366,30,8,0,59,0,52,160,0,4,0,0,0,59,0,0,0,0,806,0,19,0,123,0,0,0,0,0,0,0,19,19,0,0,0,0,59,0,0,0,59,732,0,0,0,0,0,0,39,58,59,0,0,0,1202,0,0,133,59,9,0,0,0,59,0,0,0,250,0,14,0,0,0,0,0,25,0,0
7,06,010500,0,49,26,53,7,0,0,24,6,16,6,0,0,17,364,9,38,0,43,8,62,228,0,12,0,0,0,22,0,0,6,0,916,0,26,0,46,0,0,0,0,0,0,0,20,31,0,0,0,0,43,0,0,0,65,892,0,43,0,0,6,0,61,92,16,0,0,0,1738,0,0,46,22,7,0,0,0,16,0,0,0,757,0,61,0,0,0,0,27,0,0,0
8,06,010600,0,0,31,0,10,0,10,94,7,13,0,10,0,10,195,10,0,0,0,0,0,68,0,11,0,0,0,0,0,0,31,0,767,0,31,0,252,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,13,635,0,13,0,0,31,0,41,51,0,0,0,0,1836,0,0,278,0,69,0,0,0,0,13,0,0,698,0,41,0,0,0,0,0,0,0,0
9,06,010701,0,0,0,0,0,0,8,0,0,0,0,0,0,0,97,80,0,9,0,0,0,0,0,10,0,0,0,0,0,0,0,0,107,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,75,0,9,0,0,0,0,0,0,0,0,0,0,1834,0,0,39,0,0,0,0,0,0,0,0,0,1678,0,0,0,0,0,0,0,0,0,0
