,state,tract,B25091_017E,B25091_010E,B25091_011E,B25091_005E,B25091_003E,B25091_012E,B25091_016E,B25091_014E,B25091_004E,B25091_021E,B25091_020E,B25091_009E,B25091_023E,B25091_008E,B25091_001E,B25091_015E,B25091_018E,B25091_019E,B25091_022E,B25091_007E,B25091_006E,B25091_002E,B25140_004E,B25140_005E,B25140_008E,B25140_009E,B25140_007E,B25140_003E,B25140_001E
78,06,016801,0,7,28,86,34,0,7,0,48,0,0,28,0,8,343,8,0,5,0,39,45,323,28,0,0,0,5,71,1965
79,06,016802,0,24,33,76,30,0,0,25,48,0,0,0,0,58,402,0,0,0,0,100,8,377,33,0,0,0,0,115,1955
80,06,016900,9,67,0,90,37,11,10,39,75,26,0,35,12,6,533,24,0,0,24,23,45,389,0,11,24,12,50,108,1660
81,06,017000,0,90,24,142,31,0,15,139,201,0,0,73,0,29,1146,33,14,0,129,31,195,816,24,0,129,0,129,216,2195
82,06,017101,10,19,38,63,33,0,11,56,131,9,23,46,0,18,595,37,9,0,0,47,45,440,38,0,0,0,32,121,1759
83,06,017102,9,21,48,162,61,0,0,50,45,0,8,6,18,0,537,15,8,0,22,29,35,407,48,0,22,18,30,75,1587
84,06,017602,0,0,3,0,23,40,0,0,11,0,0,0,0,33,137,0,0,0,0,27,0,137,3,40,0,0,0,36,1594
85,06,017603,0,55,65,52,0,0,163,32,0,0,0,97,0,24,643,47,0,0,0,69,39,401,65,0,0,0,0,241,2409
86,06,017604,0,0,15,14,0,0,0,69,0,0,0,0,0,74,276,22,0,0,0,82,0,185,15,0,0,0,0,28,2040
87,06,017700,0,31,44,30,5,0,0,0,12,0,0,9,0,16,196,10,0,0,0,6,33,186,44,0,0,0,0,91,938
88,06,017801,0,0,42,199,20,0,11,45,68,0,0,43,0,30,573,10,0,0,0,38,67,507,42,0,0,0,0,89,2411
89,06,017803,0,0,31,19,18,0,0,41,30,0,0,22,0,0,267,0,0,0,0,74,32,226,31,0,0,0,0,53,1195
90,06,017804,19,39,125,52,14,0,61,0,63,0,0,13,0,25,584,0,0,0,0,77,96,504,125,0,0,0,0,202,1841
91,06,017903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626
92,06,018000,25,8,34,96,42,9,6,21,24,0,0,33,0,9,414,14,0,0,12,19,62,336,34,9,12,0,12,84,1613
93,06,020101,0,20,58,29,50,0,17,40,35,10,0,102,0,0,402,0,0,0,0,0,41,335,58,0,0,0,10,180,1861
94,06,020102,5,23,0,41,0,0,0,17,49,0,0,0,0,36,239,68,0,0,0,0,0,149,0,0,0,0,0,59,1385
95,06,020201,0,0,14,37,0,0,0,129,7,0,0,0,0,38,247,4,0,0,0,7,11,114,14,0,0,0,0,52,1063
96,06,020202,52,16,0,64,0,0,0,80,19,0,0,78,0,57,487,13,0,0,0,68,40,342,0,0,0,0,0,151,2024
97,06,020300,12,14,70,311,27,0,10,139,31,0,0,27,0,29,876,80,0,0,22,40,64,613,70,0,22,0,22,121,2142
98,06,020401,0,23,144,112,28,0,14,98,64,4,0,7,19,41,755,54,0,7,31,39,70,528,144,0,31,19,42,206,1590
99,06,020402,0,87,47,80,63,0,0,199,103,0,0,0,0,0,792,17,91,0,22,45,38,463,47,0,22,0,22,134,2354
100,06,020500,0,10,10,58,88,0,18,102,45,0,0,6,0,52,526,20,0,6,11,28,72,369,10,0,11,0,11,47,1340
101,06,020601,0,17,70,94,23,0,0,53,71,0,0,23,0,53,557,9,0,15,33,26,70,447,70,0,33,0,48,163,1443
