,year,label,Category,Attribute,010800,011100,011101,011102,011200,011900,011901,011902,012000,012001,012002,012100
66,2000,DEC_SF3,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,1648.0,2546.0,INACTIVE,INACTIVE,1555.0,2843.0,INACTIVE,INACTIVE,2377.0,INACTIVE,INACTIVE,2250.0
67,2000,DEC_SF3,Housing,Renter Occupied,0.7669628432956381,0.9368600682593856,INACTIVE,INACTIVE,0.7687888942077549,0.8595065312046444,INACTIVE,INACTIVE,0.9929411764705882,INACTIVE,INACTIVE,0.9630102040816326
68,2000,DEC_SF3,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone",1.0,,INACTIVE,INACTIVE,,1.0,INACTIVE,INACTIVE,1.0,INACTIVE,INACTIVE,1.0
69,2000,DEC_SF3,Housing,"Renter Occupied by Race, Asian Alone",0.7261682242990655,0.878132118451025,INACTIVE,INACTIVE,0.7454545454545455,0.7844228094575799,INACTIVE,INACTIVE,1.0,INACTIVE,INACTIVE,0.9813278008298756
70,2000,DEC_SF3,Housing,"Renter Occupied by Race, Black or African American Alone",1.0,1.0,INACTIVE,INACTIVE,1.0,1.0,INACTIVE,INACTIVE,1.0,INACTIVE,INACTIVE,1.0
71,2000,DEC_SF3,Housing,"Renter Occupied by Race, Hispanic or Latino",1.0,1.0,INACTIVE,INACTIVE,1.0,0.963963963963964,INACTIVE,INACTIVE,1.0,INACTIVE,INACTIVE,1.0
72,2000,DEC_SF3,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",0.0,,INACTIVE,INACTIVE,1.0,,INACTIVE,INACTIVE,1.0,INACTIVE,INACTIVE,1.0
73,2000,DEC_SF3,Housing,"Renter Occupied by Race, Some Other Race Alone",1.0,1.0,INACTIVE,INACTIVE,1.0,1.0,INACTIVE,INACTIVE,1.0,INACTIVE,INACTIVE,1.0
74,2000,DEC_SF3,Housing,"Renter Occupied by Race, Two or More Races",1.0,1.0,INACTIVE,INACTIVE,1.0,0.923809523809524,INACTIVE,INACTIVE,1.0,INACTIVE,INACTIVE,1.0
75,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone",0.7903596021423106,0.9570957095709572,INACTIVE,INACTIVE,0.7639366827253957,0.869299674267101,INACTIVE,INACTIVE,0.9889230769230768,INACTIVE,INACTIVE,0.951702786377709
76,2000,DEC_SF3,Housing,"Renter Occupied by Race, White Alone, Not Hispanic or Latino",0.7874321179208689,0.955300859598854,INACTIVE,INACTIVE,0.7599720083974808,0.8653763440860215,INACTIVE,INACTIVE,0.9881967213114754,INACTIVE,INACTIVE,0.9486842105263158
77,2000,DEC_SF3,Housing,Total Number of Units,2715.0,3037.0,INACTIVE,INACTIVE,2325.0,3805.0,INACTIVE,INACTIVE,2764.0,INACTIVE,INACTIVE,2522.0
78,2000,DEC_SF3,Housing,Total Vacant Units,239.0,107.0,INACTIVE,INACTIVE,236.0,360.0,INACTIVE,INACTIVE,214.0,INACTIVE,INACTIVE,170.0
79,2000,DEC_SF3,Housing,Vacancy Rate,0.0880294659300184,0.0352321369772802,INACTIVE,INACTIVE,0.101505376344086,0.0946123521681997,INACTIVE,INACTIVE,0.077424023154848,INACTIVE,INACTIVE,0.0674068199841395
80,2000,DEC_SF3,Housing Prices,Contract Rent 100 to 149,0.0,21.0,INACTIVE,INACTIVE,9.0,8.0,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,8.0
81,2000,DEC_SF3,Housing Prices,Contract Rent 1000 to 1249,155.0,301.0,INACTIVE,INACTIVE,185.0,520.0,INACTIVE,INACTIVE,174.0,INACTIVE,INACTIVE,258.0
82,2000,DEC_SF3,Housing Prices,Contract Rent 1250 to 1499,185.0,150.0,INACTIVE,INACTIVE,156.0,221.0,INACTIVE,INACTIVE,65.0,INACTIVE,INACTIVE,168.0
83,2000,DEC_SF3,Housing Prices,Contract Rent 150 to 199,58.0,11.0,INACTIVE,INACTIVE,16.0,17.0,INACTIVE,INACTIVE,10.0,INACTIVE,INACTIVE,0.0
84,2000,DEC_SF3,Housing Prices,Contract Rent 1500 to 1999,217.0,200.0,INACTIVE,INACTIVE,199.0,167.0,INACTIVE,INACTIVE,60.0,INACTIVE,INACTIVE,41.0
85,2000,DEC_SF3,Housing Prices,Contract Rent 200 to 249,53.0,0.0,INACTIVE,INACTIVE,18.0,9.0,INACTIVE,INACTIVE,44.0,INACTIVE,INACTIVE,0.0
86,2000,DEC_SF3,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)",168.0,28.0,INACTIVE,INACTIVE,214.0,63.0,INACTIVE,INACTIVE,20.0,INACTIVE,INACTIVE,18.0
87,2000,DEC_SF3,Housing Prices,Contract Rent 250 to 299,6.0,17.0,INACTIVE,INACTIVE,7.0,17.0,INACTIVE,INACTIVE,67.0,INACTIVE,INACTIVE,9.0
88,2000,DEC_SF3,Housing Prices,Contract Rent 300 to 349,40.0,85.0,INACTIVE,INACTIVE,64.0,34.0,INACTIVE,INACTIVE,56.0,INACTIVE,INACTIVE,45.0
89,2000,DEC_SF3,Housing Prices,Contract Rent 350 to 399,55.0,92.0,INACTIVE,INACTIVE,7.0,49.0,INACTIVE,INACTIVE,55.0,INACTIVE,INACTIVE,45.0
90,2000,DEC_SF3,Housing Prices,Contract Rent 400 to 449,22.0,124.0,INACTIVE,INACTIVE,7.0,89.0,INACTIVE,INACTIVE,161.0,INACTIVE,INACTIVE,62.0
91,2000,DEC_SF3,Housing Prices,Contract Rent 500 to 549,54.0,108.0,INACTIVE,INACTIVE,6.0,110.0,INACTIVE,INACTIVE,177.0,INACTIVE,INACTIVE,56.0
92,2000,DEC_SF3,Housing Prices,Contract Rent 550 to 599,104.0,156.0,INACTIVE,INACTIVE,76.0,262.0,INACTIVE,INACTIVE,142.0,INACTIVE,INACTIVE,121.0
93,2000,DEC_SF3,Housing Prices,Contract Rent 600 to 649,55.0,210.0,INACTIVE,INACTIVE,36.0,117.0,INACTIVE,INACTIVE,161.0,INACTIVE,INACTIVE,191.0
94,2000,DEC_SF3,Housing Prices,Contract Rent 650 to 699,98.0,179.0,INACTIVE,INACTIVE,98.0,155.0,INACTIVE,INACTIVE,321.0,INACTIVE,INACTIVE,197.0
95,2000,DEC_SF3,Housing Prices,Contract Rent 700 to 749,165.0,188.0,INACTIVE,INACTIVE,76.0,145.0,INACTIVE,INACTIVE,170.0,INACTIVE,INACTIVE,223.0
96,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 749,117.0,154.0,INACTIVE,INACTIVE,70.0,208.0,INACTIVE,INACTIVE,121.0,INACTIVE,INACTIVE,167.0
97,2000,DEC_SF3,Housing Prices,Contract Rent 750 to 799,76.0,220.0,INACTIVE,INACTIVE,67.0,155.0,INACTIVE,INACTIVE,133.0,INACTIVE,INACTIVE,96.0
98,2000,DEC_SF3,Housing Prices,Contract Rent 800 to 899,96.0,331.0,INACTIVE,INACTIVE,145.0,320.0,INACTIVE,INACTIVE,240.0,INACTIVE,INACTIVE,263.0
99,2000,DEC_SF3,Housing Prices,Contract Rent 900 to 999,128.0,142.0,INACTIVE,INACTIVE,123.0,220.0,INACTIVE,INACTIVE,301.0,INACTIVE,INACTIVE,218.0
100,2000,DEC_SF3,Housing Prices,Contract Rent Less than 100,0.0,19.0,INACTIVE,INACTIVE,0.0,8.0,INACTIVE,INACTIVE,9.0,INACTIVE,INACTIVE,23.0
101,2000,DEC_SF3,Housing Prices,Contract Rent Total,1899.0,2745.0,INACTIVE,INACTIVE,1606.0,2961.0,INACTIVE,INACTIVE,2532.0,INACTIVE,INACTIVE,2265.0
102,2000,DEC_SF3,Housing Prices,Contract Rent Total No cash Rent (ACS2015-),47.0,9.0,INACTIVE,INACTIVE,27.0,67.0,INACTIVE,INACTIVE,45.0,INACTIVE,INACTIVE,56.0
103,2000,DEC_SF3,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)",47.0,9.0,INACTIVE,INACTIVE,27.0,67.0,INACTIVE,INACTIVE,45.0,INACTIVE,INACTIVE,56.0
104,2000,DEC_SF3,Housing Prices,Contract Rent Total With cash Rent,1852.0,2736.0,INACTIVE,INACTIVE,1579.0,2894.0,INACTIVE,INACTIVE,2487.0,INACTIVE,INACTIVE,2209.0
