,year,label,Category,Attribute
189,2000,DEC_SF3,Income,Household Income 60000 to 74999
190,2000,DEC_SF3,Income,Household Income 75000 to 99999
191,2000,DEC_SF3,Income,Household Income Greater than 200000
192,2000,DEC_SF3,Income,Household Income Less than 10000
193,2000,DEC_SF3,Income,Households Total for Income
194,2000,DEC_SF3,Income,Median Family Income
195,2000,DEC_SF3,Income,Median Household Income
196,2000,DEC_SF3,Income,Percent in Poverty
197,2000,DEC_SF3,Language Spoken at Home,Asian/Pacific Islander
198,2000,DEC_SF3,Language Spoken at Home,English Only
199,2000,DEC_SF3,Language Spoken at Home,Other European Languages
200,2000,DEC_SF3,Language Spoken at Home,Other Languages
201,2000,DEC_SF3,Language Spoken at Home,Spanish Only
202,2000,DEC_SF3,Nativity,Foreign Born
203,2000,DEC_SF3,Population,Total Population
204,2000,DEC_SF3,Race/Ethnicity,Asian
205,2000,DEC_SF3,Race/Ethnicity,"Asian Alone, Not Hispanic or Latino"
206,2000,DEC_SF3,Race/Ethnicity,Black/African American
207,2000,DEC_SF3,Race/Ethnicity,"Black/African American Alone, Not Hispanic or Latino"
208,2000,DEC_SF3,Race/Ethnicity,Latino Population (of Any Race)
209,2000,DEC_SF3,Race/Ethnicity,Native American Indian
210,2000,DEC_SF3,Race/Ethnicity,"Native American Indian Alone, Not Hispanic or Latino"
211,2000,DEC_SF3,Race/Ethnicity,Native Hawaiian/Pacific Islander
212,2000,DEC_SF3,Race/Ethnicity,"Native Hawaiian/Pacific Islander Alone, Not Hispanic or Latino"
213,2000,DEC_SF3,Race/Ethnicity,Other/Two or More Races
214,2000,DEC_SF3,Race/Ethnicity,"Population, Not Hispanic or Latino"
215,2000,DEC_SF3,Race/Ethnicity,Some Other Race Alone
216,2000,DEC_SF3,Race/Ethnicity,"Some Other Race Alone, Not Hispanic or Latino"
217,2000,DEC_SF3,Race/Ethnicity,Two Or More Races
218,2000,DEC_SF3,Race/Ethnicity,"Two Or More Races, Not Hispanic or Latino"
219,2000,DEC_SF3,Race/Ethnicity,"White Alone, Not Hispanic or Latino"
220,2000,DEC_SF3,Race/Ethnicity,"White, Including Hispanic or Latino"
221,2000,DEC_SF3,Sex,Female
222,2000,DEC_SF3,Sex,Male
223,2000,DEC_SF3,Unit Size,1 Bedroom
224,2000,DEC_SF3,Unit Size,2 Bedrooms
225,2000,DEC_SF3,Unit Size,3-4 Bedrooms
226,2000,DEC_SF3,Unit Size,5 or More Bedrooms
227,2000,DEC_SF3,Unit Size,No Bedroom
228,2000,DEC_SF3,Vehicles Available,Households with no Vehicle
229,2000,DEC_SF3,Vehicles Available,Percent of No Vehicle Homeowning Households
230,2000,DEC_SF3,Vehicles Available,Percent of No Vehicle Renting Households
231,2000,DEC_SF3,Vehicles Available,Vehicles Available
232,2000,DEC_SF3,Vehicles Available,Vehicles Homeowners
233,2000,DEC_SF3,Vehicles Available,Vehicles Per Capita
234,2000,DEC_SF3,Vehicles Available,Vehicles Renters
0,2010,ACS5YR,Affordability,
1,2010,ACS5YR,Affordability,
2,2010,ACS5YR,Affordability,
3,2010,ACS5YR,Affordability,
4,2010,ACS5YR,Affordability,
5,2010,ACS5YR,Affordability,
6,2010,ACS5YR,Affordability,
7,2010,ACS5YR,Affordability,
8,2010,ACS5YR,Affordability,
9,2010,ACS5YR,Affordability,
10,2010,ACS5YR,Affordability,
11,2010,ACS5YR,Affordability,
0,2010,ACS5YR,Age,0-2 Years
1,2010,ACS5YR,Age,0-4 Years
2,2010,ACS5YR,Age,18-34 Years
3,2010,ACS5YR,Age,3-5 Years
4,2010,ACS5YR,Age,35-59 Years
5,2010,ACS5YR,Age,5-17 Years
6,2010,ACS5YR,Age,60 and older
7,2010,ACS5YR,Age,Under 18 Years
8,2010,ACS5YR,Age,Under 6 Years
9,2010,ACS5YR,Educational Attainment,College Degree or higher
10,2010,ACS5YR,Educational Attainment,High School or Less
11,2010,ACS5YR,Educational Attainment,Some College/Associate Degree
12,2010,ACS5YR,Employment,"6-17, Living with One Parent"
13,2010,ACS5YR,Employment,"6-17, Living with One Parent, Parent Not in Labor Force"
14,2010,ACS5YR,Employment,"6-17, Living with One Parent, Parent in Labor Force"
15,2010,ACS5YR,Employment,"6-17, Living with Two Parents"
16,2010,ACS5YR,Employment,"6-17, Living with Two Parents, One Parent in Labor Force"
17,2010,ACS5YR,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force"
18,2010,ACS5YR,Employment,"6-17, Living with Two Parents, Parents in Labor Force"
19,2010,ACS5YR,Employment,Employed Residents
20,2010,ACS5YR,Employment,"Employed Residents, alternate"
21,2010,ACS5YR,Employment,Managerial Professional
22,2010,ACS5YR,Employment,"Managerial Professional, alternate"
23,2010,ACS5YR,Employment,Natural Resources
24,2010,ACS5YR,Employment,"Natural Resources, alternate"
25,2010,ACS5YR,Employment,Production Transport Materials
26,2010,ACS5YR,Employment,"Production Transport Materials, alternate"
27,2010,ACS5YR,Employment,Sales and Office
28,2010,ACS5YR,Employment,"Sales and Office, alternate"
29,2010,ACS5YR,Employment,Services
30,2010,ACS5YR,Employment,"Services, alternate"
31,2010,ACS5YR,Employment,"Under 6 Years, Living with One Parent"
32,2010,ACS5YR,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force"
33,2010,ACS5YR,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force"
34,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents"
35,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force"
36,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force"
37,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force"
38,2010,ACS5YR,Employment,"Unemployment Rate, alternate"
39,2010,ACS5YR,Employment,Worked in place of residence
40,2010,ACS5YR,Employment,Worked outside place of residence
41,2010,ACS5YR,Households,Average Family Household Size
42,2010,ACS5YR,Households,Average Household Size
43,2010,ACS5YR,Households,Family Households
44,2010,ACS5YR,Households,Households
45,2010,ACS5YR,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)"
46,2010,ACS5YR,Households,"Households with Children, % of Total"
47,2010,ACS5YR,Households,Living in Group Quarters
48,2010,ACS5YR,Households,Non-Family Households
49,2010,ACS5YR,Households,"Single Person Households, % of Total"
50,2010,ACS5YR,Housing,Median Year Moved In Owner
51,2010,ACS5YR,Housing,Median Year Moved In Renter
52,2010,ACS5YR,Housing,Median Year Structure Built
53,2010,ACS5YR,Housing,"Overcrowding, Renter Occupied Housing"
54,2010,ACS5YR,Housing,Owner Occupied
55,2010,ACS5YR,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure
56,2010,ACS5YR,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure
57,2010,ACS5YR,Housing,Renter Occupied
58,2010,ACS5YR,Housing,Total Number of Units
59,2010,ACS5YR,Housing,Total Vacant Units
60,2010,ACS5YR,Housing,Vacancy Rate
61,2010,ACS5YR,Housing Prices,Contract Rent 100 to 149
62,2010,ACS5YR,Housing Prices,Contract Rent 1000 to 1249
63,2010,ACS5YR,Housing Prices,Contract Rent 1250 to 1499
64,2010,ACS5YR,Housing Prices,Contract Rent 150 to 199
65,2010,ACS5YR,Housing Prices,Contract Rent 1500 to 1999
66,2010,ACS5YR,Housing Prices,Contract Rent 200 to 249
67,2010,ACS5YR,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)"
68,2010,ACS5YR,Housing Prices,Contract Rent 250 to 299
69,2010,ACS5YR,Housing Prices,Contract Rent 2500 to 2999 (ACS2015-)
70,2010,ACS5YR,Housing Prices,Contract Rent 300 to 349
71,2010,ACS5YR,Housing Prices,Contract Rent 3000 to 3499 (ACS2015-)
72,2010,ACS5YR,Housing Prices,Contract Rent 350 to 399
73,2010,ACS5YR,Housing Prices,Contract Rent 3500 or more (ACS2015-)
74,2010,ACS5YR,Housing Prices,Contract Rent 400 to 449
75,2010,ACS5YR,Housing Prices,Contract Rent 500 to 549
76,2010,ACS5YR,Housing Prices,Contract Rent 550 to 599
77,2010,ACS5YR,Housing Prices,Contract Rent 600 to 649
78,2010,ACS5YR,Housing Prices,Contract Rent 650 to 699
79,2010,ACS5YR,Housing Prices,Contract Rent 700 to 749
80,2010,ACS5YR,Housing Prices,Contract Rent 750 to 749
81,2010,ACS5YR,Housing Prices,Contract Rent 750 to 799
82,2010,ACS5YR,Housing Prices,Contract Rent 800 to 899
83,2010,ACS5YR,Housing Prices,Contract Rent 900 to 999
84,2010,ACS5YR,Housing Prices,Contract Rent Less than 100
