,year,label,Category,Attribute,021100,021200,021300,021400,021500,021600
6,2000,DEC_SF3,Age,60 and older,0.1132467532467532,0.1093969144460028,0.1147203947368421,0.1232876712328767,0.1162656400384985,0.1822164948453608
7,2000,DEC_SF3,Age,Under 18 Years,462.0,343.0,266.0,372.0,640.0,430.0
8,2000,DEC_SF3,Age,Under 6 Years,253.0,130.0,117.0,192.0,287.0,103.0
9,2000,DEC_SF3,Educational Attainment,College Degree or higher,0.7207067575945443,0.7040433513964152,0.692785475394171,0.6955128205128205,0.601124912116241,0.6784101174345076
10,2000,DEC_SF3,Educational Attainment,High School or Less,0.1004339739615623,0.0775323051271363,0.146201624462494,0.1282051282051282,0.176001874853527,0.1288768443239988
11,2000,DEC_SF3,Educational Attainment,Some College/Associate Degree,0.1788592684438933,0.2184243434764485,0.1610129001433349,0.1762820512820513,0.222873213030232,0.1927130382414935
12,2000,DEC_SF3,Employment,"6-17, Living with One Parent",92.0,61.0,41.0,37.0,88.0,112.0
13,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",0.0,0.0983606557377049,0.0,0.0,0.0909090909090909,0.1875
14,2000,DEC_SF3,Employment,"6-17, Living with One Parent, Parent in Labor Force",1.0,0.9016393442622952,1.0,1.0,0.9090909090909092,0.8125
15,2000,DEC_SF3,Employment,"6-17, Living with Two Parents",117.0,152.0,108.0,143.0,256.0,207.0
16,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.0,0.3486842105263157,0.1296296296296296,0.2377622377622377,0.42578125,0.144927536231884
17,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.0,0.0,0.0,0.0349650349650349,0.0,0.0
18,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents in Labor Force",1.0,0.6513157894736842,0.8703703703703703,0.7272727272727273,0.57421875,0.855072463768116
19,2000,DEC_SF3,Employment,Employed Residents,2568.0,1952.0,1733.0,2288.0,3485.0,2527.0
20,2000,DEC_SF3,Employment,Managerial Professional,0.7204049844236761,0.7095286885245902,0.6860934795152914,0.7084790209790209,0.5856527977044477,0.6497823506133755
21,2000,DEC_SF3,Employment,Natural Resources,0.006619937694704,0.033811475409836,0.0323139065204847,0.0236013986013986,0.0579626972740315,0.0098931539374752
22,2000,DEC_SF3,Employment,Production Transport Materials,0.0373831775700934,0.0194672131147541,0.0276976341604154,0.0450174825174825,0.0378766140602582,0.0462999604273842
23,2000,DEC_SF3,Employment,Sales and Office,0.1764018691588785,0.1921106557377049,0.2013848817080207,0.1512237762237762,0.2154949784791965,0.2077562326869806
24,2000,DEC_SF3,Employment,Services,0.0591900311526479,0.0450819672131147,0.0525100980957876,0.0716783216783216,0.103012912482066,0.0862683023347843
25,2000,DEC_SF3,Employment,"Under 6 Years, Living with One Parent",7.0,25.0,27.0,25.0,44.0,4.0
