,Category,Attribute,Percent Of,2000_Golden Gate Park,2010_Golden Gate Park,2011_Golden Gate Park,2012_Golden Gate Park,2013_Golden Gate Park,2014_Golden Gate Park,2015_Golden Gate Park,2016_Golden Gate Park,2017_Golden Gate Park,2018_Golden Gate Park,2019_Golden Gate Park,2020_Golden Gate Park,2021_Golden Gate Park,2022_Golden Gate Park,2023_Golden Gate Park,2024_Golden Gate Park
57,Employment,"Unemployment Rate by Race, White Alone",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
58,Employment,"Unemployment Rate by Race, White Alone, Not Hispanic or Latino",None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
59,Employment,Worked in place of residence,Total Living in a Place,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
60,Employment,Worked outside place of residence,Total Living in a Place,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
61,Households,Average Family Household Size,Total Family Households,1.5454545454545454,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
62,Households,Average Household Size,Total Households,1.2972972972972974,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
63,Households,Family Households,Total Households,0.2972972972972973,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
64,Households,Households,None,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",Total Households,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
66,Households,"Households with Children, % of Total",Total Households,0.2972972972972973,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
67,Households,Living in Group Quarters,None,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Households,Non-Family Households,Total Households,0.7027027027027027,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
69,Households,"Single Person Households, % of Total",Total Households,0.5135135135135135,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
70,Housing,Median Year Moved In Owner,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Housing,Median Year Moved In Renter,None,1996.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Housing,Median Year Structure Built,None,1939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
