,Category,Attribute,2010_Farallon Islands,2011_Farallon Islands,2012_Farallon Islands,2013_Farallon Islands,2014_Farallon Islands,2015_Farallon Islands,2016_Farallon Islands,2017_Farallon Islands,2018_Farallon Islands,2019_Farallon Islands,2020_Farallon Islands,2021_Farallon Islands,2022_Farallon Islands,2023_Farallon Islands,2024_Farallon Islands
86,Housing Prices,Contract Rent Less than 100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,Housing Prices,Contract Rent Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Housing Prices,Contract Rent Total No cash Rent (ACS2015-),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Housing Prices,Contract Rent Total With cash Rent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Housing Prices,Extremely Rent Burdened,,,,,,,,,,,,,,,
92,Housing Prices,"Extremely Rent Burdened by Race, American Indian and Alaska Native Alone",,,,,,,,,,,,,,,
93,Housing Prices,"Extremely Rent Burdened by Race, Asian Alone",,,,,,,,,,,,,,,
94,Housing Prices,"Extremely Rent Burdened by Race, Black or African American Alone",,,,,,,,,,,,,,,
95,Housing Prices,"Extremely Rent Burdened by Race, Hispanic or Latino",,,,,,,,,,,,,,,
96,Housing Prices,"Extremely Rent Burdened by Race, Native Hawaiian and Other Pacific Islander Alone",,,,,,,,,,,,,,,
97,Housing Prices,"Extremely Rent Burdened by Race, Some Other Race Alone",,,,,,,,,,,,,,,
98,Housing Prices,"Extremely Rent Burdened by Race, Two or More Races",,,,,,,,,,,,,,,
99,Housing Prices,"Extremely Rent Burdened by Race, White Alone",,,,,,,,,,,,,,,
100,Housing Prices,"Extremely Rent Burdened by Race, White Alone, Not Hispanic or Latino",,,,,,,,,,,,,,,
