,Category,Attribute,2024_Lakeshore,2024_San Francisco,2023_Lakeshore,2023_San Francisco,2022_Lakeshore,2022_San Francisco,2021_Lakeshore,2021_San Francisco,2020_Lakeshore,2020_San Francisco,2019_Lakeshore,2019_San Francisco,2018_Lakeshore,2018_San Francisco,2017_Lakeshore,2017_San Francisco,2016_Lakeshore,2016_San Francisco,2015_Lakeshore,2015_San Francisco,2014_Lakeshore,2014_San Francisco,2013_Lakeshore,2013_San Francisco,2012_Lakeshore,2012_San Francisco,2011_Lakeshore,2011_San Francisco,2010_Lakeshore,2010_San Francisco,2000_Lakeshore,2000_San Francisco
175,Housing Type,Other Type,0.0017262213015708,0.0023091561062066,0.0,0.0018901381554589,0.0012475494564248,0.0019715972147199,0.001274349171673,0.0020002822180357,0.0,0.0019957472819698,0.0013255065328536,0.0018596400160261,0.0023505708529214,0.0020529231896371,0.0,0.0020589919155043,0.0,0.0023319445308127,0.0,0.00235039107896,0.0,0.0021433856540617,0.0,0.0020211974071454,0.0,0.0017513835130034,0.0,0.0016540674293013,0.0015290519877675,0.0015116426068034,0.0,0.0016160356913025
176,Housing Type,Single Family Housing,0.2254445019851545,0.304068708879491,0.2040306759407883,0.3050234805822405,0.1823204419889502,0.3031570108327359,0.1591115965774622,0.3089024936686612,0.1093456774677843,0.3103178044690111,0.1350123082749479,0.3119583924445195,0.3812402059547795,0.315788938127388,0.1456178020691001,0.317713748777313,0.1536796536796536,0.3165303774640881,0.1523959151610369,0.3184910489273076,0.1452808112324493,0.3197647015453969,0.1349040471214136,0.3209624396356016,0.1341711328774718,0.3242911828369747,0.1032269566767694,0.3256161334370132,0.1005776418620455,0.3325371656970098,0.1854616895874263,0.3214901003385018
177,Income,Household Income 10000 to 14999,376.0,15308.0,269.0,15529.0,256.0,16000.0,146.0,16766.0,1035.0,17288.0,94.0,18085.0,227.0,18491.0,267.0,19887.0,306.0,20617.0,336.0,21438.0,387.0,21208.0,310.0,21150.0,331.0,21154.0,287.0,20189.0,260.0,20010.0,263.0,16394.0
178,Income,Household Income 100000 to 124999,398.0,26735.0,329.0,26209.0,475.0,25620.0,467.0,27559.0,447.0,27970.0,378.0,30267.0,499.0,31518.0,321.0,33643.0,382.0,33784.0,432.0,33451.0,401.0,33454.0,472.0,32521.0,462.0,32239.0,485.0,32711.0,340.0,33163.0,313.0,27331.0
179,Income,Household Income 125000 to 149999,272.0,22202.0,316.0,22308.0,178.0,23366.0,327.0,26235.0,387.0,25181.0,220.0,25995.0,531.0,26865.0,137.0,26092.0,105.0,24878.0,93.0,24220.0,92.0,24036.0,120.0,22511.0,109.0,22628.0,125.0,22421.0,125.0,20872.0,217.0,16203.0
180,Income,Household Income 15000 to 19999,238.0,9038.0,218.0,8663.0,303.0,8641.0,259.0,8796.0,547.0,9914.0,291.0,10648.0,376.0,11261.0,278.0,11817.0,294.0,12624.0,222.0,13153.0,206.0,13637.0,193.0,13054.0,198.0,13720.0,222.0,14251.0,278.0,14661.0,183.0,13984.0
181,Income,Household Income 150000 to 199999,555.0,40776.0,678.0,41831.0,742.0,41397.0,579.0,42044.0,1047.0,41573.0,405.0,43041.0,775.0,40710.0,255.0,38845.0,215.0,37112.0,185.0,34042.0,204.0,32900.0,197.0,32129.0,175.0,30817.0,330.0,29802.0,301.0,29308.0,137.0,17613.0
182,Income,Household Income 20000 to 24999,319.0,7934.0,309.0,8692.0,222.0,8944.0,230.0,9052.0,347.0,8831.0,160.0,10249.0,167.0,11101.0,217.0,11901.0,217.0,12088.0,229.0,12936.0,226.0,13469.0,224.0,13963.0,238.0,13745.0,162.0,13822.0,135.0,13280.0,320.0,14158.0
183,Income,Household Income 25000 to 29999,86.0,7042.0,54.0,6819.0,60.0,8370.0,54.0,9408.0,322.0,8838.0,144.0,8990.0,215.0,9442.0,198.0,9524.0,184.0,10116.0,179.0,10420.0,239.0,11209.0,251.0,11514.0,323.0,11528.0,363.0,12108.0,310.0,12023.0,267.0,14381.0
184,Income,Household Income 30000 to 34999,176.0,7458.0,115.0,7237.0,85.0,6572.0,144.0,6759.0,190.0,7459.0,219.0,8892.0,262.0,9029.0,292.0,9868.0,321.0,10295.0,241.0,10782.0,202.0,10978.0,192.0,12185.0,118.0,12069.0,95.0,11743.0,108.0,11157.0,279.0,15215.0
185,Income,Household Income 35000 to 39999,67.0,5089.0,103.0,5673.0,92.0,5733.0,180.0,7482.0,74.0,6850.0,331.0,6979.0,383.0,7686.0,224.0,8432.0,246.0,9028.0,227.0,10040.0,174.0,10577.0,156.0,10063.0,191.0,9882.0,195.0,10401.0,209.0,10462.0,343.0,14898.0
186,Income,Household Income 40000 to 44999,163.0,6774.0,103.0,6485.0,168.0,6629.0,117.0,7242.0,65.0,7180.0,229.0,8401.0,255.0,8703.0,292.0,9090.0,207.0,9521.0,211.0,10048.0,233.0,10111.0,223.0,10533.0,177.0,11229.0,171.0,11813.0,188.0,12388.0,240.0,15386.0
187,Income,Household Income 45000 to 49999,88.0,7018.0,104.0,6578.0,138.0,6266.0,381.0,6862.0,35.0,6867.0,167.0,6892.0,217.0,7473.0,126.0,8105.0,102.0,8397.0,121.0,8882.0,123.0,9158.0,108.0,9786.0,223.0,9577.0,232.0,9415.0,256.0,10300.0,226.0,13500.0
188,Income,Household Income 50000 to 59999,196.0,11035.0,366.0,11474.0,389.0,13172.0,281.0,13729.0,151.0,13496.0,189.0,14334.0,290.0,14470.0,189.0,15341.0,182.0,17317.0,193.0,18365.0,268.0,19378.0,346.0,19492.0,397.0,19646.0,476.0,20395.0,529.0,20695.0,466.0,24932.0
189,Income,Household Income 60000 to 74999,348.0,17650.0,283.0,17737.0,280.0,17182.0,296.0,19022.0,403.0,20959.0,423.0,21137.0,646.0,23398.0,518.0,24553.0,535.0,25900.0,543.0,26979.0,576.0,26252.0,534.0,26291.0,496.0,26841.0,489.0,26781.0,562.0,27010.0,517.0,33365.0
190,Income,Household Income 75000 to 99999,301.0,29418.0,386.0,30304.0,359.0,30936.0,386.0,29804.0,443.0,30297.0,612.0,32723.0,758.0,33589.0,537.0,34768.0,555.0,36333.0,733.0,36784.0,662.0,36872.0,784.0,37860.0,723.0,37058.0,779.0,37903.0,898.0,38689.0,551.0,39969.0
191,Income,Household Income Greater than 200000,801.0,132400.0,782.0,130863.0,638.0,125937.0,571.0,113561.0,1476.0,98664.0,478.0,97866.0,2267.0,86676.0,320.0,76014.0,231.0,65693.0,142.0,58060.0,100.0,52380.0,99.0,48524.0,117.0,45348.0,67.0,42493.0,106.0,39183.0,107.0,20260.0
192,Income,Household Income Less than 10000,450.0,17117.0,429.0,15332.0,411.0,15250.0,400.0,16253.0,440.0,16356.0,584.0,17060.0,496.0,18530.0,588.0,20160.0,733.0,22331.0,649.0,22966.0,661.0,22534.0,675.0,23124.0,715.0,22697.0,662.0,21497.0,681.0,22063.0,509.0,32261.0
193,Income,Households Total for Income,4834.0,362994.0,4844.0,361734.0,4796.0,360015.0,4818.0,360574.0,7409.0,347723.0,4924.0,361559.0,8364.0,358942.0,4759.0,358040.0,4815.0,356034.0,4736.0,352566.0,4754.0,348153.0,4884.0,344700.0,4993.0,340178.0,5140.0,337745.0,5286.0,335264.0,4938.0,329850.0
194,Income,Median Family Income,120833.33333333334,173217.40919847722,127314.81481481482,168157.06857647406,114149.7461928934,162072.2573065061,108002.33644859811,147571.96998698416,129775.2808988764,136237.13751169317,87349.39759036145,131782.45925697073,141434.26294820718,123389.0414629245,71330.93525179857,114544.38509474756,65911.76470588235,104226.22450924336,67779.06976744186,96832.0036998497,65598.59154929577,94375.29425612051,72251.13122171946,91412.3330491617,69652.17391304347,89631.6362975967,73632.35294117648,88215.45859723199,73211.29707112971,86703.84419407802,57286.24535315985,63964.11709159584
195,Income,Median Household Income,71120.68965517242,140630.3486172417,79468.91191709845,140840.72978303747,74678.57142857142,136440.23367285798,70996.62162162163,126479.8932723461,80389.39051918736,117453.07472291742,61914.89361702128,113537.43350844154,96372.03166226912,104995.55809378768,45932.53968253968,96817.47583985272,42572.46376811594,88612.28084661327,48057.85123966942,81982.65550239234,46991.86991869919,78773.52733781732,53179.19075144509,75789.09138932911,49607.62331838565,73882.86576506091,53802.52100840336,73015.850789739,54120.982986767485,71436.31988152536,46438.05309734513,55915.28958767848
196,Income,Percent in Poverty,0.2481166226396634,0.1113604023552502,0.2374329425789787,0.1056659306523586,0.2414582935674747,0.1047756967547361,0.198421339139902,0.1030257299879177,0.1575201760821716,0.1025115875378968,0.2779616148246194,0.1031213469423362,0.1413657890716504,0.1082799641527579,0.3119584055459272,0.1161249583248412,0.3397108843537414,0.1241638395338585,0.3240279162512463,0.1320454925572838,0.3023976661500592,0.13237241619923,0.2917750470894251,0.1342626531666365,0.2948608502646406,0.1315243500198909,0.2702726473175022,0.1229353033059334,0.2626431497116108,0.1186272068431713,0.1387272206850491,0.1131303602506546
197,Journey to Work,Journey to Work by Bike,0.0163747143945163,0.0329879276302361,0.0121596163726665,0.0328941674178437,0.0108435656195184,0.0341092630722379,0.0067787035729416,0.0335150801847893,0.0161349919940879,0.0360319321482704,0.0026096033402922,0.0395593184563246,0.0083228924288526,0.0402347124177166,0.0044746181144885,0.0391703298703084,0.0066375263072689,0.0413504597283024,0.010551807645736,0.040321010944916,0.0102507779608273,0.0380119973241799,0.0100033909799932,0.0349765620975634,0.0239626889675136,0.0337878173375318,0.0187941662907833,0.0309165432438948,0.0187606594656054,0.0296686416502084,,
198,Journey to Work,Journey to Work by Car,0.4543031226199543,0.3452646188684758,0.4672032882342867,0.3458510748341253,0.4586190400255143,0.3510609441848422,0.4937155768959186,0.3588679653159753,0.2921542061830274,0.37429372183569,0.4536795407098121,0.3901755455750085,0.4710041166994809,0.4020433086110863,0.4270945841691097,0.4114097840900359,0.4133074307916464,0.4221576916161781,0.4449057256530012,0.4308964478752917,0.4675086948563061,0.4365885488062991,0.5166158019667684,0.4452395190134804,0.5485686715985848,0.4531176660909666,0.5603668621259961,0.4547285273080058,0.573052870949403,0.4605014841250592,,
199,Journey to Work,Journey to Work by Carpooled,0.0479817212490479,0.0594444432508384,0.0611406062681966,0.0598689890880534,0.0779779939403603,0.0644066891061601,0.1053523513628018,0.0648023603071281,0.0259884222194851,0.0687035531460274,0.0940762004175365,0.0694032388569016,0.0724897082512976,0.0727092207031444,0.0570899552538188,0.0681800719025877,0.0414440666990448,0.0718422163963489,0.0377097387995156,0.0725140795212214,0.0468606992494966,0.0751203570684417,0.0523906408952187,0.075151344123951,0.0792859440334512,0.0802577434686911,0.0835964516614043,0.0780284503840457,0.0717737350767481,0.0793273506346511,,
200,Journey to Work,Journey to Work by Drove Alone,0.4063214013709063,0.2858201756176374,0.4060626819660901,0.2859820857460718,0.3806410460851538,0.2866542550786821,0.3883632255331168,0.2940656050088471,0.2661657839635423,0.3055901686896625,0.3596033402922756,0.3207723067181068,0.3985144084481832,0.3293340879079419,0.3700046289152908,0.3432297121874482,0.3718633640926015,0.3503154752198291,0.4071959868534855,0.3583823683540703,0.4206479956068094,0.3614681917378574,0.4642251610715496,0.3700881748895294,0.4692827275651335,0.3728599226222754,0.4767704104645918,0.37670007692396,0.5012791358726549,0.3811741334904081,,
201,Journey to Work,Journey to Work by Other Journey Type,0.0251332825590251,0.0305493905805866,0.02226408631615,0.0324318504710777,0.0188167756338701,0.0361559421504925,0.025985030362943,0.0391636442245334,0.0371966991008744,0.0399008861416274,0.0221816283924843,0.0388361848251384,0.043046357615894,0.035435220762716,0.0155840148125289,0.0315392734522543,0.0161890885543143,0.0280143667707797,0.0164331430548348,0.0243859660380344,0.0133626212703642,0.0231721626986302,0.0174635469650729,0.0223852685000414,0.0122225796075908,0.0208049470705376,0.0084197864982709,0.0207005820962353,0.0055429221148379,0.0203019068408348,,
