,Category,Attribute,2000_Visitacion Valley,2010_Visitacion Valley,2011_Visitacion Valley,2012_Visitacion Valley,2013_Visitacion Valley,2014_Visitacion Valley,2015_Visitacion Valley,2016_Visitacion Valley,2017_Visitacion Valley,2018_Visitacion Valley,2019_Visitacion Valley,2020_Visitacion Valley,2021_Visitacion Valley,2022_Visitacion Valley,2023_Visitacion Valley,2024_Visitacion Valley
10,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",0.3663943990665111,0.1504811898512686,0.186536901865369,0.2022160664819944,0.2029126213592233,0.2131747483989021,0.1834146341463414,0.2379654859218891,0.239925023430178,0.2381370826010544,0.2858414959928762,0.2601828761429759,0.1527494908350305,0.1428571428571428,0.1228287841191067,0.0657748049052396
11,Employment,"6-17, Living with One Parent, Parent in Labor Force",0.6336056009334889,0.8495188101487314,0.813463098134631,0.7977839335180056,0.7970873786407767,0.7868252516010978,0.8165853658536585,0.7620345140781108,0.7600749765698219,0.7618629173989455,0.7141585040071238,0.7398171238570241,0.8472505091649695,0.8571428571428571,0.8771712158808933,0.9342251950947604
12,Employment,"6-17, Living with Two Parents",1836.0,1686.0,1514.0,1590.0,1218.0,1217.0,1192.0,1279.0,1221.0,1109.0,1142.0,1117.0,1096.0,1111.0,1192.0,1059.0
13,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.2679738562091503,0.1838671411625148,0.1591809775429326,0.1754716981132075,0.2167487684729064,0.1889893179950698,0.1837248322147651,0.2220484753713839,0.1638001638001638,0.2371505861136158,0.3152364273204903,0.3491495076096687,0.4616788321167883,0.5607560756075608,0.5100671140939598,0.5014164305949008
14,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.2178649237472767,0.0,0.0,0.0025157232704402,0.0041050903119868,0.0041084634346754,0.0192953020134228,0.0258014073494917,0.0147420147420147,0.0225428313796212,0.0227670753064798,0.0,0.0,0.0,0.0,0.0
15,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.514161220043573,0.8161328588374852,0.8408190224570674,0.8220125786163522,0.7791461412151067,0.8069022185702547,0.7969798657718121,0.7521501172791243,0.8214578214578214,0.7403065825067628,0.6619964973730298,0.6508504923903312,0.5383211678832117,0.4392439243924392,0.4899328859060403,0.4985835694050991
231,Employment,Employed Residents,7315.0,8050.0,8018.0,7921.0,7723.0,7787.0,7897.0,8525.0,9156.0,14730.0,9549.0,1641.0,9388.0,8958.0,8201.0,7836.0
232,Employment,Managerial Professional,0.1864661654135338,0.1382608695652173,0.1455475180843103,0.1719479863653579,0.1992748931762268,0.2138179016309233,0.2421172597188806,0.2482111436950146,0.2431192660550458,0.5021045485403938,0.2413865326212168,0.465569774527727,0.2393481039625053,0.2726054922973878,0.3031337641751006,0.3067891781521184
233,Employment,Natural Resources,0.0900888585099111,0.0795031055900621,0.0825642304814168,0.0805453856836258,0.0644827139712547,0.0495697958135353,0.063188552614917,0.0963049853372434,0.0953473132372215,0.0317718940936863,0.0932034768038538,0.0085313833028641,0.0667873881550916,0.0647465952221478,0.066333373978783,0.0788667687595712
234,Employment,Production Transport Materials,0.2142173615857826,0.186335403726708,0.1590172112746321,0.1485923494508269,0.1311666450861064,0.1340696031847951,0.1356211219450424,0.1357184750733137,0.1359764089121887,0.0723014256619144,0.1547806052989842,0.0597196831200487,0.1613762249680443,0.1668899307881223,0.1621753444701865,0.1393568147013782
235,Employment,Sales and Office,0.2879015721120984,0.2301863354037267,0.2531803442254926,0.2297689685645751,0.2513272044542276,0.2658276614870938,0.245536279599848,0.2193548387096774,0.2181083442551332,0.1934826883910387,0.1997067755785946,0.0847044485070079,0.2449936088623775,0.2279526680062513,0.229606145592001,0.2457886676875957
236,Employment,Services,0.2203691045796309,0.3657142857142857,0.3596906959341481,0.3691453099356142,0.3537485433121843,0.3367150378836522,0.3135367861213119,0.3004105571847507,0.3074486675404106,0.2003394433129667,0.3109226096973505,0.3814747105423522,0.2874946740519812,0.2678053136860906,0.2387513717839288,0.2291985706993363
16,Employment,"Under 6 Years, Living with One Parent",650.0,668.0,688.0,541.0,434.0,396.0,402.0,366.0,409.0,573.0,615.0,510.0,565.0,470.0,375.0,327.0
17,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",0.4876923076923077,0.3667664670658682,0.3313953488372093,0.3012939001848428,0.3110599078341013,0.3459595959595959,0.2263681592039801,0.2486338797814207,0.1418092909535452,0.1919720767888307,0.2504065040650406,0.2313725490196078,0.3132743362831858,0.3170212765957447,0.3413333333333333,0.3975535168195718
18,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",0.5123076923076924,0.6332335329341318,0.6686046511627907,0.6987060998151571,0.6889400921658986,0.6540404040404041,0.7736318407960199,0.7513661202185792,0.8581907090464548,0.8080279232111692,0.7495934959349594,0.7686274509803922,0.6867256637168142,0.6829787234042554,0.6586666666666666,0.6024464831804281
19,Employment,"Under 6 Years, Living with Two Parents",585.0,413.0,480.0,540.0,484.0,637.0,724.0,840.0,740.0,696.0,543.0,534.0,292.0,301.0,295.0,312.0
20,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",0.4085470085470085,0.1646489104116222,0.1166666666666666,0.1518518518518518,0.1714876033057851,0.2511773940345368,0.1698895027624309,0.1702380952380952,0.1445945945945946,0.1566091954022988,0.0699815837937384,0.2247191011235955,0.4794520547945205,0.6013289036544851,0.5423728813559322,0.5096153846153846
21,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",0.1726495726495726,0.0,0.0,0.0703703703703703,0.0640495867768595,0.0800627943485086,0.0856353591160221,0.0916666666666666,0.0189189189189189,0.0316091954022988,0.0,0.0,0.0,0.0,0.0,0.0
22,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",0.4188034188034188,0.8353510895883777,0.8833333333333333,0.7777777777777778,0.7644628099173554,0.6687598116169545,0.744475138121547,0.7380952380952381,0.8364864864864865,0.8117816091954023,0.9300184162062616,0.7752808988764045,0.5205479452054794,0.3986710963455149,0.4576271186440678,0.4903846153846153
237,Employment,Unemployment Rate,0.0725244072524407,0.1303878146267689,0.1464555213093846,0.1634716663155677,0.1637856525496974,0.1473833715721621,0.1375326939843069,0.1035751840168243,0.0890458660829768,0.0444992215879605,0.0662951012026987,0.0307147076196101,0.0658182541260688,0.0647752164389277,0.0698305084745762,0.0680715046762164
23,Employment,Worked in place of residence,0.695676744843176,0.7123478701825557,0.7336484414920798,0.7356456222395428,0.7353444868923725,0.7307842372220055,0.7464299498263219,0.7257601149150108,0.7244909313452765,0.69698314108252,0.702009405728944,0.715348552792499,0.7364145350752004,0.7181449275362319,0.7371689266252693,0.7439056703762587
24,Employment,Worked outside place of residence,0.3043232551568239,0.2876521298174442,0.2663515585079203,0.2643543777604573,0.2646555131076274,0.2692157627779945,0.2535700501736781,0.2742398850849892,0.2755090686547234,0.30301685891748,0.297990594271056,0.284651447207501,0.2635854649247997,0.2818550724637681,0.2628310733747307,0.2560943296237414
25,Households,Average Family Household Size,4.485558583106267,4.421179624664879,4.362453531598513,4.3441145281018025,4.092582987551867,4.13681204569055,4.148936170212766,4.290859413810233,4.349202392821535,3.365372237717228,4.378677395021373,3.088235294117647,4.227180010198878,4.156488549618321,3.971885478462729,3.9658848614072495
26,Households,Average Household Size,3.972745855098797,3.737974683544304,3.665296897472776,3.725556021821234,3.484317718940937,3.509911003236246,3.5821016400080987,3.724430098850111,3.7386698057680983,2.3219670838671527,3.727713178294574,2.2932735426008968,3.590459569517161,3.536792266719274,3.374726368159204,3.3730516817063165
27,Households,Family Households,0.8335225982284806,0.7869198312236287,0.7737826176289295,0.7914393621485523,0.7853360488798371,0.779126213592233,0.799352095565904,0.8121847891870083,0.7871296841279184,0.459347590420814,0.7707364341085271,0.4878923766816143,0.7605196819856506,0.7753008482935491,0.771542288557214,0.7694831829368335
28,Households,Households,4403.0,4740.0,4867.0,4766.0,4910.0,4944.0,4939.0,4957.0,5097.0,10147.0,5160.0,1115.0,5157.0,5069.0,5025.0,4876.0
29,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.4487849193731547,0.4213080168776371,0.3977809739058968,0.4255140579101972,0.4553971486761711,0.4735032362459547,0.4425997165418101,0.4571313294331249,0.4528153815970178,0.3115206464965014,0.4540697674418604,0.1775784753363228,0.5130890052356021,0.5245610574077727,0.5607960199004975,0.5627563576702215
30,Households,"Households with Children, % of Total",0.416988416988417,0.4481012658227848,0.4468871995068831,0.4406210658833403,0.3820773930753564,0.3907766990291262,0.3942093541202672,0.417187815210813,0.4000392387679027,0.1765053710456292,0.4098837209302325,0.2098654708520179,0.3509792515028117,0.337936476622608,0.3249751243781094,0.3113207547169811
31,Households,Living in Group Quarters,142.0,0.0,0.0,434.0,527.0,512.0,443.0,414.0,535.0,2571.0,95.0,271.0,84.0,118.0,110.0,109.0
32,Households,Non-Family Households,0.1664774017715194,0.2130801687763713,0.2262173823710704,0.2085606378514477,0.2146639511201629,0.220873786407767,0.2006479044340959,0.1878152108129917,0.2128703158720816,0.5406524095791859,0.2292635658914728,0.5121076233183857,0.2394803180143494,0.2246991517064509,0.228457711442786,0.2305168170631665
33,Households,"Single Person Households, % of Total",0.1215080626845332,0.1932489451476793,0.1999178138483665,0.1770877045740663,0.1775967413441955,0.1814320388349514,0.1579267058108928,0.1494855759531975,0.1595055915244261,0.3822804769882724,0.1701550387596899,0.379372197309417,0.1593949970913321,0.1629512724403235,0.1731343283582089,0.1675553732567678
