,year,label,Category,Attribute,030101,030102,030201,030202,030301,030302
46,2000,DEC_SF3,Housing,Built 1950 to 1959,0.0797546012269938,0.143719806763285,0.1803022407503908,0.1497737556561086,0.1599521340247307,0.165402124430956
47,2000,DEC_SF3,Housing,Built 1960 to 1969,0.0679565832940066,0.2934782608695652,0.1573736321000521,0.1579185520361991,0.1420023932987634,0.1077389984825493
48,2000,DEC_SF3,Housing,Built 1970 to 1979,0.0523831996224634,0.1417069243156199,0.0776446065659197,0.1176470588235294,0.0849621061029118,0.0220030349013657
49,2000,DEC_SF3,Housing,Built 1980 to 1989,0.0193487494100991,0.0245571658615136,0.0218863991662324,0.023076923076923,0.0327084164339848,0.0235204855842185
50,2000,DEC_SF3,Housing,Built 1990 to 1999 (to Mar 2000 for DEC),0.0467201510146295,0.0575684380032206,0.0,0.0144796380090497,0.0191463901076984,0.0
51,2000,DEC_SF3,Housing,Median Year Moved In Owner,1991.0264900662253,1985.0,1991.736111111111,1988.423076923077,1981.372549019608,1984.3333333333333
52,2000,DEC_SF3,Housing,Median Year Moved In Renter,1996.7855072463767,1997.271604938272,1995.8280701754384,1996.139158576052,1997.0365853658536,1996.0751445086703
53,2000,DEC_SF3,Housing,Median Year Structure Built,1939.0,1960.589849108368,1945.8159722222224,1945.4444444444443,1946.6484716157208,1942.6687116564417
54,2000,DEC_SF3,Housing,"Overcrowding, Renter Occupied Housing",0.0235602094240837,0.0931445603576751,0.0772471910112359,0.0465657741559953,0.0552147239263803,0.1162079510703364
55,2000,DEC_SF3,Housing,Owner Occupied,0.2524461839530332,0.4230438521066208,0.2360515021459227,0.1983201119925338,0.5306458247634718,0.7470997679814385
56,2000,DEC_SF3,Housing,"Owner Occupied by Race, American Indian and Alaska Native Alone",0.0,1.0,,,1.0,1.0
57,2000,DEC_SF3,Housing,"Owner Occupied by Race, Asian Alone",0.391812865497076,0.3695198329853862,0.44375,0.2422680412371134,0.7042440318302388,0.8100961538461539
58,2000,DEC_SF3,Housing,"Owner Occupied by Race, Black or African American Alone",0.1555555555555555,0.0,0.0,0.173076923076923,0.28125,1.0
59,2000,DEC_SF3,Housing,"Owner Occupied by Race, Hispanic or Latino",0.32,0.2159090909090909,0.0545454545454545,0.1851851851851851,0.4887218045112781,0.2962962962962963
60,2000,DEC_SF3,Housing,"Owner Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",,,,0.0,,
61,2000,DEC_SF3,Housing,"Owner Occupied by Race, Some Other Race Alone",0.1929824561403508,0.1463414634146341,0.0,0.0,0.3454545454545454,0.0
62,2000,DEC_SF3,Housing,"Owner Occupied by Race, Two or More Races",0.2068965517241379,0.4772727272727273,0.1481481481481481,0.3037974683544304,0.313953488372093,0.7027027027027027
63,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone",0.2302158273381295,0.4566371681415929,0.1700949367088607,0.1791577444682369,0.464524765729585,0.7205882352941176
64,2000,DEC_SF3,Housing,"Owner Occupied by Race, White Alone, Not Hispanic or Latino",0.2191967324710687,0.4606537530266343,0.1778329197684036,0.1774668630338733,0.4621790423317141,0.725
65,2000,DEC_SF3,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,82.0,267.0,82.0,160.0,292.0,177.0
66,2000,DEC_SF3,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,1446.0,1075.0,1342.0,1558.0,849.0,150.0
67,2000,DEC_SF3,Housing,Renter Occupied,0.7475538160469667,0.5769561478933792,0.7639484978540773,0.8016798880074661,0.4693541752365281,0.2529002320185615
68,2000,DEC_SF3,Housing,"Renter Occupied by Race, American Indian and Alaska Native Alone",1.0,0.0,,,0.0,0.0
69,2000,DEC_SF3,Housing,"Renter Occupied by Race, Asian Alone",0.6081871345029239,0.6304801670146137,0.55625,0.7577319587628866,0.2957559681697613,0.1899038461538461
70,2000,DEC_SF3,Housing,"Renter Occupied by Race, Black or African American Alone",0.8444444444444444,1.0,1.0,0.8269230769230769,0.71875,0.0
71,2000,DEC_SF3,Housing,"Renter Occupied by Race, Hispanic or Latino",0.68,0.7840909090909091,0.9454545454545454,0.8148148148148148,0.5112781954887218,0.7037037037037037
72,2000,DEC_SF3,Housing,"Renter Occupied by Race, Native Hawaiian and Other Pacific Islander Alone",,,,1.0,,
