,year,label,Category,Attribute,017700,020100,020101,020102,020200,020201,020202,020700,020701,020702,020800,020801,020802,020900,021000,022801,022802,022803,022901,022902,022903
15,2000,DEC_SF3,Employment,"6-17, Living with Two Parents",112.0,436.0,INACTIVE,INACTIVE,225.0,INACTIVE,INACTIVE,190.0,INACTIVE,INACTIVE,565.0,INACTIVE,INACTIVE,305.0,132.0,269.0,173.0,438.0,408.0,272.0,383.0
16,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.6964285714285714,0.4243119266055046,INACTIVE,INACTIVE,0.4444444444444444,INACTIVE,INACTIVE,0.2684210526315789,INACTIVE,INACTIVE,0.2920353982300885,INACTIVE,INACTIVE,0.2918032786885245,0.2575757575757575,0.2788104089219331,0.3526011560693641,0.3561643835616438,0.5098039215686274,0.6580882352941176,0.1122715404699739
17,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.0,0.1261467889908256,INACTIVE,INACTIVE,0.1288888888888889,INACTIVE,INACTIVE,0.0,INACTIVE,INACTIVE,0.0761061946902654,INACTIVE,INACTIVE,0.0721311475409836,0.1136363636363636,0.3420074349442379,0.0635838150289017,0.1689497716894977,0.2573529411764705,0.2610294117647059,0.2428198433420365
18,2000,DEC_SF3,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.3035714285714285,0.4495412844036697,INACTIVE,INACTIVE,0.4266666666666667,INACTIVE,INACTIVE,0.7315789473684211,INACTIVE,INACTIVE,0.631858407079646,INACTIVE,INACTIVE,0.6360655737704918,0.6287878787878788,0.379182156133829,0.5838150289017341,0.4748858447488584,0.2328431372549019,0.0808823529411764,0.6449086161879896
19,2000,DEC_SF3,Employment,Employed Residents,1078.0,2721.0,INACTIVE,INACTIVE,3693.0,INACTIVE,INACTIVE,3939.0,INACTIVE,INACTIVE,3993.0,INACTIVE,INACTIVE,2944.0,3146.0,2542.0,762.0,2474.0,2607.0,1408.0,2029.0
20,2000,DEC_SF3,Employment,Managerial Professional,0.3534322820037106,0.2855567805953694,INACTIVE,INACTIVE,0.4779312212293528,INACTIVE,INACTIVE,0.5722264534145722,INACTIVE,INACTIVE,0.2697220135236664,INACTIVE,INACTIVE,0.3033288043478261,0.5607120152574698,0.3532651455546813,0.3175853018372703,0.2950687146321746,0.241657077100115,0.359375,0.2942336126170527
21,2000,DEC_SF3,Employment,Natural Resources,0.0974025974025974,0.0444689452407203,INACTIVE,INACTIVE,0.0481992959653398,INACTIVE,INACTIVE,0.037065244986037,INACTIVE,INACTIVE,0.0458302028549962,INACTIVE,INACTIVE,0.0920516304347826,0.0432294977749523,0.1077891424075531,0.0813648293963254,0.0582053354890865,0.1238971998465669,0.0568181818181818,0.0660423854115327
22,2000,DEC_SF3,Employment,Production Transport Materials,0.1326530612244898,0.1256890848952591,INACTIVE,INACTIVE,0.0549688600054156,INACTIVE,INACTIVE,0.0236100533130236,INACTIVE,INACTIVE,0.1344853493613824,INACTIVE,INACTIVE,0.0876358695652173,0.0432294977749523,0.1416207710464201,0.0944881889763779,0.1447049312853678,0.1311852704257767,0.1605113636363636,0.1128634795465746
23,2000,DEC_SF3,Employment,Sales and Office,0.2282003710575139,0.2624035281146637,INACTIVE,INACTIVE,0.2759274302734903,INACTIVE,INACTIVE,0.2477786240162477,INACTIVE,INACTIVE,0.2096168294515402,INACTIVE,INACTIVE,0.2438858695652173,0.2205975842339478,0.1805664830841856,0.2860892388451443,0.2392886014551334,0.1848868431146912,0.1931818181818181,0.2488910793494332
24,2000,DEC_SF3,Employment,Services,0.1883116883116883,0.2796765894891584,INACTIVE,INACTIVE,0.1429731925264013,INACTIVE,INACTIVE,0.1193196242701193,INACTIVE,INACTIVE,0.3335837716003005,INACTIVE,INACTIVE,0.2676630434782608,0.1322314049586777,0.2128245476003147,0.2204724409448819,0.2546483427647534,0.3060989643268124,0.2151988636363636,0.2779694430754066
