,year,label,Category,Attribute,060100
150,2000,DEC_SF3,Housing Prices,Rent 200 to 249,0.0
151,2000,DEC_SF3,Housing Prices,"Rent 2000 to 2499  (Rent 2000 or more, DEC2000 and ACS2009-2014)",184.0
152,2000,DEC_SF3,Housing Prices,Rent 250 to 299,0.0
153,2000,DEC_SF3,Housing Prices,Rent 300 to 349,0.0
154,2000,DEC_SF3,Housing Prices,Rent 350 to 399,6.0
155,2000,DEC_SF3,Housing Prices,Rent 400 to 449,0.0
156,2000,DEC_SF3,Housing Prices,Rent 450 to 499,0.0
157,2000,DEC_SF3,Housing Prices,Rent 500 to 549,14.0
158,2000,DEC_SF3,Housing Prices,Rent 550 to 599,0.0
159,2000,DEC_SF3,Housing Prices,Rent 600 to 649,8.0
160,2000,DEC_SF3,Housing Prices,Rent 650 to 699,6.0
161,2000,DEC_SF3,Housing Prices,Rent 700 to 749,0.0
162,2000,DEC_SF3,Housing Prices,Rent 750 to 799,21.0
163,2000,DEC_SF3,Housing Prices,Rent 800 to 899,51.0
164,2000,DEC_SF3,Housing Prices,Rent 900 to 999,56.0
165,2000,DEC_SF3,Housing Prices,Rent Burdened,0.3837638376383764
166,2000,DEC_SF3,Housing Prices,Rent Less than 100,0.0
167,2000,DEC_SF3,Housing Prices,Rent Total,813.0
168,2000,DEC_SF3,Housing Prices,"Rent Total No cash rent  (No cash rent, DEC2000 and ACS2009-2014)",63.0
169,2000,DEC_SF3,Housing Prices,Rent Total No cash rent (ACS2015-),63.0
170,2000,DEC_SF3,Housing Prices,Rent Total With cash rent,750.0
171,2000,DEC_SF3,Housing Type,10-19 Units,0.0477346278317152
172,2000,DEC_SF3,Housing Type,2-4 Units,0.5525889967637541
173,2000,DEC_SF3,Housing Type,20 Units or More,0.0080906148867313
174,2000,DEC_SF3,Housing Type,5-9 Units,0.1650485436893204
175,2000,DEC_SF3,Housing Type,Other Type,0.0
176,2000,DEC_SF3,Housing Type,Single Family Housing,0.2265372168284789
177,2000,DEC_SF3,Income,Household Income 10000 to 14999,15.0
178,2000,DEC_SF3,Income,Household Income 100000 to 124999,86.0
179,2000,DEC_SF3,Income,Household Income 125000 to 149999,26.0
180,2000,DEC_SF3,Income,Household Income 15000 to 19999,6.0
181,2000,DEC_SF3,Income,Household Income 150000 to 199999,74.0
182,2000,DEC_SF3,Income,Household Income 20000 to 24999,26.0
183,2000,DEC_SF3,Income,Household Income 25000 to 29999,25.0
184,2000,DEC_SF3,Income,Household Income 30000 to 34999,40.0
185,2000,DEC_SF3,Income,Household Income 35000 to 39999,45.0
186,2000,DEC_SF3,Income,Household Income 40000 to 44999,25.0
187,2000,DEC_SF3,Income,Household Income 45000 to 49999,53.0
188,2000,DEC_SF3,Income,Household Income 50000 to 59999,65.0
189,2000,DEC_SF3,Income,Household Income 60000 to 74999,97.0
190,2000,DEC_SF3,Income,Household Income 75000 to 99999,143.0
191,2000,DEC_SF3,Income,Household Income Greater than 200000,65.0
192,2000,DEC_SF3,Income,Household Income Less than 10000,37.0
193,2000,DEC_SF3,Income,Households Total for Income,828.0
194,2000,DEC_SF3,Income,Median Family Income,63068.181818181816
195,2000,DEC_SF3,Income,Median Household Income,71907.21649484536
196,2000,DEC_SF3,Income,Percent in Poverty,0.173076923076923
197,2000,DEC_SF3,Language Spoken at Home,Asian/Pacific Islander,0.0459280303030303
198,2000,DEC_SF3,Language Spoken at Home,English Only,0.8333333333333334
199,2000,DEC_SF3,Language Spoken at Home,Other European Languages,0.0364583333333333
200,2000,DEC_SF3,Language Spoken at Home,Other Languages,0.0104166666666666
201,2000,DEC_SF3,Language Spoken at Home,Spanish Only,0.0738636363636363
202,2000,DEC_SF3,Nativity,Foreign Born,0.0879609062638827
203,2000,DEC_SF3,Population,Total Population,2251.0
204,2000,DEC_SF3,Race/Ethnicity,Asian,110.0
205,2000,DEC_SF3,Race/Ethnicity,"Asian Alone, Not Hispanic or Latino",110.0
206,2000,DEC_SF3,Race/Ethnicity,Black/African American,63.0
207,2000,DEC_SF3,Race/Ethnicity,"Black/African American Alone, Not Hispanic or Latino",63.0
208,2000,DEC_SF3,Race/Ethnicity,Latino Population (of Any Race),217.0
209,2000,DEC_SF3,Race/Ethnicity,Native American Indian,34.0
210,2000,DEC_SF3,Race/Ethnicity,"Native American Indian Alone, Not Hispanic or Latino",26.0
211,2000,DEC_SF3,Race/Ethnicity,Native Hawaiian/Pacific Islander,0.0
212,2000,DEC_SF3,Race/Ethnicity,"Native Hawaiian/Pacific Islander Alone, Not Hispanic or Latino",0.0
213,2000,DEC_SF3,Race/Ethnicity,Other/Two or More Races,210.0
214,2000,DEC_SF3,Race/Ethnicity,"Population, Not Hispanic or Latino",2034.0
215,2000,DEC_SF3,Race/Ethnicity,Some Other Race Alone,28.0
216,2000,DEC_SF3,Race/Ethnicity,"Some Other Race Alone, Not Hispanic or Latino",0.0
217,2000,DEC_SF3,Race/Ethnicity,Two Or More Races,182.0
218,2000,DEC_SF3,Race/Ethnicity,"Two Or More Races, Not Hispanic or Latino",159.0
219,2000,DEC_SF3,Race/Ethnicity,"White Alone, Not Hispanic or Latino",1676.0
220,2000,DEC_SF3,Race/Ethnicity,"White, Including Hispanic or Latino",1834.0
221,2000,DEC_SF3,Sex,Female,0.468236339404709
222,2000,DEC_SF3,Sex,Male,0.531763660595291
223,2000,DEC_SF3,Unit Size,1 Bedroom,47.0
224,2000,DEC_SF3,Unit Size,2 Bedrooms,325.0
225,2000,DEC_SF3,Unit Size,3-4 Bedrooms,839.0
226,2000,DEC_SF3,Unit Size,5 or More Bedrooms,21.0
227,2000,DEC_SF3,Unit Size,No Bedroom,4.0
228,2000,DEC_SF3,Vehicles Available,Households with no Vehicle,0.0410628019323671
229,2000,DEC_SF3,Vehicles Available,Percent of No Vehicle Homeowning Households,0.0
230,2000,DEC_SF3,Vehicles Available,Percent of No Vehicle Renting Households,0.041820418204182
231,2000,DEC_SF3,Vehicles Available,Vehicles Available,1615.0
232,2000,DEC_SF3,Vehicles Available,Vehicles Homeowners,0.0123839009287925
233,2000,DEC_SF3,Vehicles Available,Vehicles Per Capita,0.7174589071523767
234,2000,DEC_SF3,Vehicles Available,Vehicles Renters,0.9876160990712074
11,2010,ACS5YR,Affordability,# Units at or below 100 AMI Monthly Affordable Rent,986
2,2010,ACS5YR,Affordability,# Units at or below 30 AMI Monthly Affordable Rent,986
5,2010,ACS5YR,Affordability,# Units at or below 50 AMI Monthly Affordable Rent,986
8,2010,ACS5YR,Affordability,# Units at or below 80 AMI Monthly Affordable Rent,986
9,2010,ACS5YR,Affordability,100 AMI Annual Income,122747.74774774777
10,2010,ACS5YR,Affordability,100 AMI Monthly Affordable Rent,10228.978978978981
0,2010,ACS5YR,Affordability,30 AMI Annual Income,36824.32432432433
1,2010,ACS5YR,Affordability,30 AMI Monthly Affordable Rent,3068.693693693694
3,2010,ACS5YR,Affordability,50 AMI Annual Income,61373.87387387388
4,2010,ACS5YR,Affordability,50 AMI Monthly Affordable Rent,5114.489489489491
6,2010,ACS5YR,Affordability,80 AMI Annual Income,98198.19819819822
7,2010,ACS5YR,Affordability,80 AMI Monthly Affordable Rent,8183.183183183185
0,2010,ACS5YR,Age,0-2 Years,0.6511627906976745
1,2010,ACS5YR,Age,0-4 Years,0.0666899441340782
2,2010,ACS5YR,Age,18-34 Years,0.513268156424581
3,2010,ACS5YR,Age,3-5 Years,0.3488372093023256
4,2010,ACS5YR,Age,35-59 Years,0.2922486033519553
5,2010,ACS5YR,Age,5-17 Years,0.0974162011173184
6,2010,ACS5YR,Age,60 and older,0.030377094972067
7,2010,ACS5YR,Age,Under 18 Years,470.0
8,2010,ACS5YR,Age,Under 6 Years,215.0
9,2010,ACS5YR,Educational Attainment,College Degree or higher,0.8527204502814258
10,2010,ACS5YR,Educational Attainment,High School or Less,0.0530018761726078
11,2010,ACS5YR,Educational Attainment,Some College/Associate Degree,0.0942776735459662
12,2010,ACS5YR,Employment,"6-17, Living with One Parent",62.0
13,2010,ACS5YR,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",0.0
14,2010,ACS5YR,Employment,"6-17, Living with One Parent, Parent in Labor Force",1.0
15,2010,ACS5YR,Employment,"6-17, Living with Two Parents",157.0
16,2010,ACS5YR,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.7261146496815286
17,2010,ACS5YR,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.0
18,2010,ACS5YR,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.2738853503184713
19,2010,ACS5YR,Employment,Employed Residents,2061.0
20,2010,ACS5YR,Employment,"Employed Residents, alternate",2061.0
21,2010,ACS5YR,Employment,Managerial Professional,0.61863173216885
22,2010,ACS5YR,Employment,"Managerial Professional, alternate",0.61863173216885
23,2010,ACS5YR,Employment,Natural Resources,0.0043668122270742
24,2010,ACS5YR,Employment,"Natural Resources, alternate",0.0043668122270742
25,2010,ACS5YR,Employment,Production Transport Materials,0.0145560407569141
26,2010,ACS5YR,Employment,"Production Transport Materials, alternate",0.0145560407569141
27,2010,ACS5YR,Employment,Sales and Office,0.3129548762736536
28,2010,ACS5YR,Employment,"Sales and Office, alternate",0.3129548762736536
29,2010,ACS5YR,Employment,Services,0.049490538573508
30,2010,ACS5YR,Employment,"Services, alternate",0.049490538573508
31,2010,ACS5YR,Employment,"Under 6 Years, Living with One Parent",0.0
32,2010,ACS5YR,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",
33,2010,ACS5YR,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",
34,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents",215.0
35,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",0.5255813953488372
36,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",0.0837209302325581
37,2010,ACS5YR,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",0.3906976744186046
38,2010,ACS5YR,Employment,"Unemployment Rate, alternate",0.0276217228464419
39,2010,ACS5YR,Employment,Worked in place of residence,0.8144179249878227
40,2010,ACS5YR,Employment,Worked outside place of residence,0.1855820750121773
41,2010,ACS5YR,Households,Average Family Household Size,3.2763819095477387
42,2010,ACS5YR,Households,Average Household Size,2.8356435643564355
43,2010,ACS5YR,Households,Family Households,0.3940594059405941
44,2010,ACS5YR,Households,Households,1010.0
45,2010,ACS5YR,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.0742574257425742
46,2010,ACS5YR,Households,"Households with Children, % of Total",0.2475247524752475
47,2010,ACS5YR,Households,Living in Group Quarters,0.0
48,2010,ACS5YR,Households,Non-Family Households,0.6059405940594059
49,2010,ACS5YR,Households,"Single Person Households, % of Total",0.2584158415841584
50,2010,ACS5YR,Housing,Median Year Moved In Owner,2006.0
51,2010,ACS5YR,Housing,Median Year Moved In Renter,2005.097069597069
52,2010,ACS5YR,Housing,Median Year Structure Built,1949.2934782608693
53,2010,ACS5YR,Housing,"Overcrowding, Renter Occupied Housing",0.0121703853955375
54,2010,ACS5YR,Housing,Owner Occupied,0.0237623762376237
55,2010,ACS5YR,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,818.0
56,2010,ACS5YR,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,144.0
57,2010,ACS5YR,Housing,Renter Occupied,0.9762376237623762
58,2010,ACS5YR,Housing,Total Number of Units,1234.0
59,2010,ACS5YR,Housing,Total Vacant Units,224.0
60,2010,ACS5YR,Housing,Vacancy Rate,0.1815235008103727
61,2010,ACS5YR,Housing Prices,Contract Rent 100 to 149,0.0
62,2010,ACS5YR,Housing Prices,Contract Rent 1000 to 1249,18.0
63,2010,ACS5YR,Housing Prices,Contract Rent 1250 to 1499,0.0
64,2010,ACS5YR,Housing Prices,Contract Rent 150 to 199,0.0
65,2010,ACS5YR,Housing Prices,Contract Rent 1500 to 1999,79.0
66,2010,ACS5YR,Housing Prices,Contract Rent 200 to 249,0.0
67,2010,ACS5YR,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)",801.0
68,2010,ACS5YR,Housing Prices,Contract Rent 250 to 299,0.0
69,2010,ACS5YR,Housing Prices,Contract Rent 2500 to 2999 (ACS2015-),0.0
70,2010,ACS5YR,Housing Prices,Contract Rent 300 to 349,0.0
