,Category,Attribute,2000_Mission Bay,2010_Mission Bay,2011_Mission Bay,2012_Mission Bay,2013_Mission Bay,2014_Mission Bay,2015_Mission Bay,2016_Mission Bay,2017_Mission Bay,2018_Mission Bay,2019_Mission Bay,2020_Mission Bay,2021_Mission Bay,2022_Mission Bay,2023_Mission Bay,2024_Mission Bay
444,Income,"Percent in Poverty by Race, Two or More Races",0.0,0.0,0.0,0.2463768115942029,0.1022222222222222,0.1179487179487179,0.1184834123222748,0.064516129032258,0.022883295194508,0.0405405405405405,0.0388127853881278,0.0142857142857142,0.0197869101978691,0.0647948164146868,0.0710659898477157,0.0765136393878908
445,Income,"Percent in Poverty by Race, White Alone",0.0915750915750915,0.0416520826041302,0.057288351368555,0.0950335570469798,0.0867296222664015,0.0911245720305504,0.0927085943372588,0.0603286384976525,0.0939554612937433,0.117659137577002,0.1214285714285714,0.0885865958858659,0.1088790062873792,0.0446038131887353,0.0546082013804303,0.0482744018632225
446,Income,"Percent in Poverty by Race, White Alone, Not Hispanic or Latino",0.0915750915750915,0.0464299648849005,0.0537292329445033,0.0969609261939218,0.0782768584187024,0.0861040068201193,0.0879805089334055,0.0580221997981836,0.0462660296706059,0.0751016503228892,0.0895648500211237,0.0610803588471082,0.0840260209613299,0.0443001718541149,0.056141154903758,0.0444086516336861
457,Language Spoken at Home,Asian/Pacific Islander,0.2941176470588235,0.2878394741394222,0.3052647102197316,0.3202891326021934,0.2949163954662776,0.3184652785117852,0.298823039266743,0.268164719857454,0.2623347607521877,0.2889884088514226,0.2969750320102433,0.2279876763418193,0.2659673827142754,0.2665949290470105,0.287672131147541,0.3034538451981612
459,Language Spoken at Home,English Only,0.5445378151260504,0.4992215879605604,0.50774222091137,0.4760717846460618,0.514083716754573,0.4886375647394567,0.5022393500677013,0.5423678479509008,0.5416123626885124,0.5324025289778714,0.5092829705505761,0.552456623966272,0.4837991235002514,0.4823458201627547,0.448327868852459,0.4445272704683811
461,Language Spoken at Home,Other European Languages,0.1411764705882353,0.1484172288531396,0.1101607432532074,0.1225074775672981,0.1131186174391201,0.1082338019236867,0.1134256848244974,0.1108691348247871,0.0935579966486687,0.0749034070951879,0.088348271446863,0.0665639695151613,0.0898771463467203,0.1169547380455982,0.1257049180327868,0.1203255062740713
463,Language Spoken at Home,Other Languages,0.0201680672268907,0.0025947067981318,0.013419849579708,0.01981555333998,0.0158231399394007,0.0250502061092907,0.0284345380689511,0.0190061373985349,0.0136846024948799,0.0134351949420442,0.0090428937259923,0.0626722879844332,0.0578346145556433,0.0601250924742753,0.0706885245901639,0.0734252702199031
465,Language Spoken at Home,Spanish Only,0.0,0.0619270022487458,0.0634124760359828,0.0613160518444666,0.0620581304006284,0.0596131487157805,0.057077387772107,0.0595921599683231,0.0888102774157512,0.0902704601334738,0.0963508322663252,0.0903194421923139,0.1025217328831094,0.0739794202703611,0.0676065573770491,0.0582681078394831
467,Nativity,Foreign Born,0.4352941176470588,0.4217506631299735,0.4362662154540327,0.4789775441949355,0.4551940330775051,0.4543043655650755,0.4679827638039884,0.4175135340488175,0.3856455142231947,0.3816912972085385,0.4070488579639994,0.3635408852213053,0.4182330827067669,0.4087064676616915,0.4391382405745063,0.4302761677463348
468,Population,Total Population,595.0,6032.0,7092.0,8372.0,9251.0,9804.0,9979.0,10529.0,11425.0,12180.0,13222.0,13330.0,14896.0,16080.0,16710.0,17598.0
