,Category,Attribute,2000_Lone Mountain/USF,2010_Lone Mountain/USF,2011_Lone Mountain/USF,2012_Lone Mountain/USF,2013_Lone Mountain/USF,2014_Lone Mountain/USF,2015_Lone Mountain/USF,2016_Lone Mountain/USF,2017_Lone Mountain/USF,2018_Lone Mountain/USF,2019_Lone Mountain/USF,2020_Lone Mountain/USF,2021_Lone Mountain/USF,2022_Lone Mountain/USF,2023_Lone Mountain/USF,2024_Lone Mountain/USF
2,Age,18-34 Years,0.5015185260174124,0.5029721079103795,0.471361143002934,0.4565425633820806,0.4487442337262942,0.462707423580786,0.4523345187564529,0.480303197963926,0.4941490230229141,0.4111747851002865,0.4807942524183968,0.2119821162444113,0.4638057062013676,0.4623121667474552,0.45578812473302,0.4569164534847444
3,Age,3-5 Years,0.457286432160804,0.3578947368421052,0.4365853658536585,0.4287729196050776,0.4464788732394366,0.4085872576177285,0.3769338959212377,0.3157248157248157,0.3883374689826303,0.4255079006772009,0.4258312020460358,0.4656992084432718,0.493368700265252,0.5229202037351444,0.6614785992217899,0.7023060796645703
4,Age,35-59 Years,0.2873051224944321,0.3059638121366516,0.3120295956116851,0.3191136087872789,0.3140056381342901,0.2995633187772926,0.2990707812320752,0.2818413190217992,0.2570619931421107,0.2849283667621776,0.2622051253040674,0.3607153502235469,0.2718108936571563,0.2799321376635967,0.2937084274119729,0.2898858176826605
5,Age,5-17 Years,0.0570290882094891,0.041413547586387,0.0517923204490368,0.0503224982438214,0.0563813429010763,0.0587481804949053,0.0623494321440862,0.0485227398472944,0.0551352528166331,0.0896848137535816,0.058607229733552,0.1333532041728763,0.0646663522754067,0.0679835191468734,0.0616342222493439,0.0507892930679478
6,Age,60 and older,0.1302557872713774,0.0995492847344699,0.1211251435132032,0.1356408455201481,0.1421066119938493,0.1420669577874818,0.1490765171503957,0.1456788757330972,0.1512545583192728,0.164756446991404,0.1586807716241443,0.2600894187779434,0.1592195236972412,0.1582040717401842,0.1617135534264966,0.1758906844699569
7,Age,Under 18 Years,1199.0,1401.0,1482.0,1363.0,1411.0,1565.0,1662.0,1566.0,1691.0,1664.0,1650.0,1519.0,1693.0,1583.0,1402.0,1184.0
8,Age,Under 6 Years,398.0,855.0,820.0,709.0,710.0,722.0,711.0,814.0,806.0,886.0,782.0,758.0,754.0,589.0,514.0,477.0
228,Educational Attainment,College Degree or higher,0.5952630077047465,0.6613173181057399,0.6436903499469777,0.650889779185689,0.6628686942938528,0.6377418544266689,0.6600470130501743,0.6916122946309252,0.7271178565897476,0.5452671362308882,0.7482753088400449,0.2404121794375145,0.7404861281610606,0.739547404727854,0.7337612974068756,0.7137069547602971
229,Educational Attainment,High School or Less,0.1903357747550651,0.1418726001772176,0.1564638966547768,0.1615578123544209,0.1390241661306625,0.1478348270374403,0.1471994812353084,0.1436993947016744,0.1352021062412885,0.26928362824257,0.1375742018289748,0.4486712636553808,0.1242327522710532,0.117943972406831,0.1264464904130416,0.1496455097906819
230,Educational Attainment,Some College/Associate Degree,0.2144012175401883,0.1968100817170424,0.1998457533982454,0.18755240845989,0.1981071395754847,0.2144233185358907,0.1927535057145173,0.1646883106674003,0.1376800371689639,0.1854492355265418,0.1141504893309802,0.3109165569071047,0.135281119567886,0.142508622865315,0.1397922121800827,0.1366475354490209
9,Employment,"6-17, Living with One Parent",281.0,206.0,235.0,275.0,271.0,308.0,369.0,391.0,263.0,152.0,224.0,136.0,138.0,249.0,241.0,170.0
10,Employment,"6-17, Living with One Parent, Parent Not in Labor Force",0.4021352313167259,0.0,0.0,0.0,0.0,0.2077922077922078,0.1273712737127371,0.1432225063938619,0.0950570342205323,0.1578947368421052,0.1294642857142857,0.25,0.217391304347826,0.072289156626506,0.0663900414937759,0.2
11,Employment,"6-17, Living with One Parent, Parent in Labor Force",0.597864768683274,1.0,1.0,1.0,1.0,0.7922077922077922,0.8726287262872628,0.8567774936061381,0.9049429657794676,0.8421052631578947,0.8705357142857143,0.75,0.782608695652174,0.927710843373494,0.933609958506224,0.8
12,Employment,"6-17, Living with Two Parents",457.0,340.0,427.0,379.0,430.0,535.0,582.0,361.0,622.0,626.0,644.0,607.0,777.0,668.0,587.0,494.0
13,Employment,"6-17, Living with Two Parents, One Parent in Labor Force",0.2735229759299781,0.2676470588235294,0.351288056206089,0.3245382585751979,0.413953488372093,0.3775700934579439,0.4054982817869416,0.3047091412742382,0.2459807073954984,0.2348242811501597,0.2577639751552795,0.2619439868204283,0.2406692406692406,0.1781437125748503,0.0885860306643952,0.0445344129554655
14,Employment,"6-17, Living with Two Parents, Parents Not in Labor Force",0.0,0.0,0.0,0.0,0.0232558139534883,0.0355140186915887,0.0343642611683848,0.0581717451523545,0.0739549839228295,0.060702875399361,0.0232919254658385,0.0065897858319604,0.0218790218790218,0.0,0.0,0.020242914979757
15,Employment,"6-17, Living with Two Parents, Parents in Labor Force",0.7264770240700219,0.7323529411764705,0.6487119437939111,0.6754617414248021,0.5627906976744186,0.5869158878504673,0.5601374570446735,0.6371191135734072,0.680064308681672,0.7044728434504792,0.718944099378882,0.7314662273476112,0.7374517374517374,0.8218562874251497,0.9114139693356048,0.9352226720647774
231,Employment,Employed Residents,9418.0,9281.0,9150.0,9077.0,8849.0,9678.0,9918.0,10305.0,10652.0,9611.0,10239.0,8677.0,10084.0,10174.0,10150.0,9842.0
232,Employment,Managerial Professional,0.5381184964960714,0.5828035772007327,0.5769398907103825,0.5862068965517241,0.5781444230986552,0.5480471171729696,0.5574712643678161,0.6026200873362445,0.6182876455125798,0.4990115492664655,0.638831917179412,0.3140486343206177,0.6563863546211821,0.6786907804206802,0.6685714285714286,0.6954887218045113
233,Employment,Natural Resources,0.0219791887874283,0.0395431526775131,0.0349726775956284,0.027872645147075,0.0263306588315063,0.019942136805125,0.0215769308328292,0.0087336244541484,0.0091062711227938,0.0510872958068879,0.0125012208223459,0.0806730436786908,0.0049583498611662,0.0085512089640259,0.0096551724137931,0.0071123755334281
234,Employment,Production Transport Materials,0.0414100658313867,0.0343712961965305,0.0287431693989071,0.0288641621681172,0.0228274381286021,0.030584831576772,0.0304496874369832,0.0236778262979136,0.0244085617724371,0.0763708250962438,0.0320343783572614,0.1280396450386078,0.0258825862752875,0.0231963829368979,0.0253201970443349,0.0354602723023775
235,Employment,Sales and Office,0.2832873221490762,0.2351039758646697,0.2204371584699453,0.2105321141346259,0.217086676460617,0.2259764414135152,0.2236337971365194,0.2286268801552644,0.2293466015771686,0.2063260846946207,0.2117394276784842,0.2126310936959778,0.1849464498214994,0.1563790053076469,0.1675862068965517,0.1545417598049177
236,Employment,Services,0.1120195370566999,0.1081779980605538,0.1389071038251366,0.1465241819984576,0.1556108034806193,0.1754494730316181,0.166868320225852,0.1363415817564289,0.1188509200150206,0.1672042451357819,0.1048930559624963,0.2646075832661058,0.1278262594208647,0.1331826223707489,0.1288669950738916,0.1073968705547653
16,Employment,"Under 6 Years, Living with One Parent",71.0,306.0,360.0,325.0,288.0,138.0,60.0,31.0,48.0,49.0,42.0,0.0,0.0,0.0,0.0,13.0
17,Employment,"Under 6 Years, Living with One Parent, Parent Not in Labor Force",0.4225352112676056,0.0261437908496732,0.0333333333333333,0.0369230769230769,0.0451388888888888,0.0797101449275362,0.0,0.0,0.0,0.0,0.0,,,,,1.0
18,Employment,"Under 6 Years, Living with One Parent, Parent in Labor Force",0.5774647887323944,0.9738562091503268,0.9666666666666668,0.963076923076923,0.9548611111111112,0.9202898550724636,1.0,1.0,1.0,1.0,1.0,,,,,0.0
19,Employment,"Under 6 Years, Living with Two Parents",311.0,523.0,446.0,371.0,408.0,584.0,651.0,774.0,748.0,826.0,732.0,751.0,754.0,589.0,514.0,464.0
20,Employment,"Under 6 Years, Living with Two Parents, One Parent in Labor Force",0.472668810289389,0.3690248565965583,0.3878923766816143,0.3315363881401617,0.3455882352941176,0.3561643835616438,0.2980030721966206,0.3527131782945736,0.4064171122994652,0.3547215496368038,0.3920765027322404,0.2982689747003995,0.3156498673740053,0.2156196943972835,0.1984435797665369,0.2887931034482758
21,Employment,"Under 6 Years, Living with Two Parents, Parents Not in Labor Force",0.0578778135048231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Employment,"Under 6 Years, Living with Two Parents, Parents in Labor Force",0.4694533762057878,0.6309751434034416,0.6121076233183856,0.6684636118598383,0.6544117647058824,0.6438356164383562,0.7019969278033794,0.6472868217054264,0.5935828877005348,0.6452784503631961,0.6079234972677595,0.7017310252996005,0.6843501326259946,0.7843803056027164,0.8015564202334631,0.7112068965517241
237,Employment,Unemployment Rate,0.0574459567654123,0.0591991890522047,0.0652773521299417,0.0696935533463154,0.0683301747736365,0.0742299598239908,0.083956774729842,0.0814689366253676,0.0806145347833592,0.080726924916308,0.0696892604034163,0.0620473462328396,0.0406241080772524,0.0315088053307948,0.049776702642352,0.0561701316040434
23,Employment,Worked in place of residence,0.7954545454545454,0.8166292134831461,0.8150829898629832,0.7812852311161218,0.7665709362435382,0.7551106427818757,0.7538604076590488,0.7496790757381258,0.778063410454156,0.8078021869766525,0.8251832513304549,0.8411735941320293,0.8627529956701239,0.8585122316525212,0.8562636489974191,0.8376146788990826
24,Employment,Worked outside place of residence,0.2045454545454545,0.1833707865168539,0.1849170101370168,0.2187147688838782,0.2334290637564618,0.2448893572181243,0.2461395923409512,0.2503209242618742,0.221936589545844,0.1921978130233474,0.1748167486695451,0.1588264058679706,0.1372470043298761,0.1414877683474787,0.1437363510025809,0.1623853211009174
25,Households,Average Family Household Size,2.769890424011434,2.9431321084864392,2.942604856512141,2.829629629629629,2.714654061022776,2.9168032786885245,2.8635312259059367,2.759970728137578,2.844404332129964,3.607254970352285,2.871604019352437,4.004326663061114,2.928515928515929,2.7997685185185186,2.678334561532793,2.670760697305864
26,Households,Average Household Size,2.072780678851175,2.1773324351633545,2.133673973957475,2.107474352711285,2.065413050466088,2.221082089552239,2.222325150532654,2.234130634774609,2.284767190872649,2.8954275169161368,2.284925890886156,3.314564265817748,2.3132081579799286,2.2846667752973766,2.193866200540283,2.1310980454473225
27,Households,Family Households,0.3425261096605744,0.3849781071067699,0.3733311356518872,0.3737176355642403,0.37399549983928,0.3793532338308458,0.4004940558900726,0.4190432382704692,0.4270736971939562,0.5878613901988927,0.423683380637023,0.7357739753282929,0.4166396892198122,0.4223562000977676,0.4312728428412521,0.4010805657079294
28,Households,Households,6128.0,5938.0,6067.0,6141.0,6222.0,6432.0,6477.0,6522.0,6486.0,4877.0,6342.0,5026.0,6178.0,6137.0,6293.0,6293.0
29,Households,"Households with 60 years and older, % of Total (DEC, 65 years and older)",0.2320496083550914,0.1695857190973391,0.2071864183286632,0.2255333007653476,0.2414014786242365,0.2422263681592039,0.2530492511965416,0.2632628028212205,0.2920135676842429,0.3418084888250974,0.3098391674550615,0.5382013529645842,0.3156361281968274,0.3003095975232198,0.2930239949149849,0.3114571746384872
30,Households,"Households with Children, % of Total",0.1026436031331592,0.1522398113843044,0.1486731498269325,0.1408565380231232,0.1475409836065573,0.1705534825870646,0.1756986259070557,0.1740263722784422,0.169750231267345,0.2386713143325815,0.1543677073478398,0.2745722244329486,0.1519909355778569,0.1652273097604693,0.1455585571269664,0.1198156682027649
31,Households,Living in Group Quarters,2115.0,0.0,0.0,1712.0,1711.0,1705.0,1674.0,1735.0,1731.0,982.0,3186.0,116.0,2673.0,2483.0,2581.0,2616.0
32,Households,Non-Family Households,0.6574738903394256,0.6150218928932301,0.6266688643481128,0.6262823644357597,0.6260045001607201,0.6206467661691543,0.5995059441099274,0.5809567617295308,0.5729263028060438,0.4121386098011072,0.576316619362977,0.2642260246717071,0.5833603107801878,0.5776437999022324,0.5687271571587478,0.5989194342920705
33,Households,"Single Person Households, % of Total",0.3653720626631854,0.3762209498147524,0.3942640514257458,0.4022146230255659,0.3878174220507875,0.3627176616915423,0.359734444959086,0.3351732597362772,0.335800185013876,0.2216526553208939,0.3273415326395459,0.2037405491444488,0.3381353188734218,0.3139970669708326,0.3249642459876052,0.3508660416335611
34,Housing,Median Year Moved In Owner,1990.879446640316,2001.3516483516485,2002.4306049822064,2001.0274790919952,2000.4184704184704,2009.1437908496728,2001.2820512820515,2001.742700729927,2009.6676829268288,2003.0926594464504,2006.307839388145,1996.6869565217391,2002.2033898305085,2010.26075619296,2010.6479250334671,2011.5806451612905
35,Housing,Median Year Moved In Renter,1996.3011904761904,2005.003373493976,2005.690232938292,2004.08937920718,2005.7533077251387,2010.4639273769708,2010.1771814829988,2010.7795166402536,2014.586835844568,2011.028311965812,2012.6650631389057,2011.144781144781,2011.5106382978724,2014.651226158038,2017.0592734225625,2016.7096774193549
36,Housing,Median Year Structure Built,1939.0,1939.0,1939.0,1939.0,1939.0,1940.0,1939.0,1939.0,1939.0,1941.4867617107943,1939.0,1941.3294117647056,1939.0,1939.0,1939.0,1939.0
37,Housing,"Overcrowding, Renter Occupied Housing",0.0596498811324832,0.0096711798839458,0.0115446779034864,0.0089106705279572,0.0115830115830115,0.0189873417721519,0.0203108808290155,0.0310891496808729,0.0376786487656994,0.0620900743331875,0.0476080956761729,0.1478463329452852,0.0481986368062317,0.0519385515727871,0.0542372881355932,0.0336053768602976
38,Housing,Owner Occupied,0.2449412532637075,0.3034691815426069,0.2861381242788858,0.2690115616349128,0.2507232401157184,0.2384950248756218,0.2550563532499614,0.2552897884084636,0.2880049337033611,0.5310641787984417,0.3144118574582151,0.6581774771189813,0.3350598899320168,0.3317581880397588,0.3437152391546162,0.3379945971714603
39,Housing,Post 1979 All and Pre 1979 Single Family Renter Occupied by Year Structure Built by Units in Structure,532.0,1940.0,2104.0,2245.0,2332.0,2405.0,820.0,876.0,927.0,986.0,941.0,1449.0,790.0,719.0,711.0,683.0
40,Housing,Pre 1980 MultiFamily Renter Occupied by Year Structure Built by Units in Structure,4095.0,2050.0,2056.0,2069.0,2115.0,2279.0,4005.0,3981.0,3691.0,1301.0,3407.0,269.0,3318.0,3382.0,3419.0,3483.0
41,Housing,Renter Occupied,0.7550587467362925,0.6965308184573931,0.7138618757211143,0.7309884383650871,0.7492767598842816,0.7615049751243781,0.7449436467500385,0.7447102115915364,0.7119950662966389,0.4689358212015583,0.6855881425417849,0.3418225228810187,0.6649401100679831,0.6682418119602411,0.6562847608453838,0.6620054028285397
42,Housing,Total Number of Units,6378.0,6643.0,6581.0,6630.0,6631.0,6791.0,6835.0,6933.0,6929.0,5178.0,6900.0,5207.0,6812.0,6784.0,6895.0,6918.0
43,Housing,Total Vacant Units,250.0,705.0,514.0,489.0,409.0,359.0,358.0,411.0,443.0,301.0,558.0,181.0,634.0,647.0,602.0,625.0
44,Housing,Vacancy Rate,0.0391972405142677,0.1061267499623664,0.0781036316669199,0.0737556561085972,0.0616799879354546,0.0528640848181416,0.0523774689100219,0.0592816962353959,0.0639341896377543,0.0581305523368095,0.0808695652173913,0.0347608987900902,0.0930710510863182,0.0953714622641509,0.0873096446700507,0.0903440300664932
45,Housing Prices,Contract Rent 100 to 149,62.0,0.0,0.0,45.0,55.0,69.0,71.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Housing Prices,Contract Rent 1000 to 1249,831.0,630.0,681.0,510.0,460.0,402.0,375.0,305.0,368.0,113.0,299.0,248.0,381.0,260.0,245.0,209.0
47,Housing Prices,Contract Rent 1250 to 1499,489.0,604.0,471.0,595.0,516.0,645.0,535.0,438.0,352.0,129.0,325.0,138.0,467.0,396.0,378.0,141.0
48,Housing Prices,Contract Rent 150 to 199,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,14.0,13.0
49,Housing Prices,Contract Rent 1500 to 1999,458.0,976.0,1137.0,1093.0,1454.0,1409.0,1411.0,1089.0,1025.0,497.0,793.0,482.0,526.0,493.0,484.0,616.0
50,Housing Prices,Contract Rent 200 to 249,35.0,142.0,138.0,92.0,102.0,88.0,93.0,101.0,104.0,0.0,145.0,23.0,114.0,83.0,0.0,0.0
51,Housing Prices,"Contract Rent 2000 to 2499 (Contract Rent 2000 or more, DEC2000 and ACS2009-2014)",388.0,665.0,655.0,828.0,880.0,1160.0,653.0,888.0,766.0,410.0,525.0,100.0,412.0,522.0,595.0,681.0
52,Housing Prices,Contract Rent 250 to 299,29.0,0.0,0.0,13.0,15.0,20.0,30.0,28.0,6.0,0.0,89.0,0.0,34.0,45.0,12.0,17.0
53,Housing Prices,Contract Rent 2500 to 2999 (ACS2015-),,108.0,107.0,111.0,78.0,78.0,274.0,418.0,495.0,271.0,557.0,78.0,565.0,599.0,586.0,582.0
54,Housing Prices,Contract Rent 300 to 349,71.0,0.0,0.0,0.0,0.0,0.0,20.0,37.0,47.0,0.0,45.0,33.0,21.0,26.0,0.0,0.0
55,Housing Prices,Contract Rent 3000 to 3499 (ACS2015-),,0.0,0.0,0.0,0.0,0.0,270.0,443.0,399.0,293.0,534.0,223.0,296.0,306.0,382.0,352.0
56,Housing Prices,Contract Rent 350 to 399,43.0,0.0,0.0,10.0,8.0,26.0,32.0,30.0,20.0,0.0,0.0,12.0,0.0,0.0,39.0,0.0
57,Housing Prices,Contract Rent 3500 or more (ACS2015-),,0.0,0.0,0.0,0.0,0.0,115.0,204.0,431.0,202.0,399.0,13.0,755.0,964.0,999.0,1131.0
58,Housing Prices,Contract Rent 400 to 449,103.0,29.0,30.0,58.0,32.0,48.0,37.0,33.0,35.0,0.0,47.0,8.0,42.0,0.0,0.0,0.0
59,Housing Prices,Contract Rent 500 to 549,139.0,54.0,63.0,16.0,21.0,11.0,0.0,0.0,0.0,0.0,27.0,74.0,78.0,83.0,30.0,8.0
60,Housing Prices,Contract Rent 550 to 599,64.0,94.0,30.0,78.0,90.0,43.0,57.0,64.0,43.0,70.0,64.0,13.0,26.0,26.0,30.0,53.0
61,Housing Prices,Contract Rent 600 to 649,86.0,46.0,30.0,9.0,10.0,24.0,17.0,23.0,22.0,45.0,0.0,0.0,0.0,12.0,6.0,0.0
62,Housing Prices,Contract Rent 650 to 699,183.0,87.0,88.0,73.0,62.0,8.0,10.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,0.0
63,Housing Prices,Contract Rent 700 to 749,169.0,40.0,91.0,46.0,52.0,117.0,75.0,84.0,32.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0
64,Housing Prices,Contract Rent 750 to 749,224.0,153.0,111.0,183.0,125.0,134.0,149.0,139.0,122.0,0.0,62.0,0.0,0.0,3.0,25.0,34.0
65,Housing Prices,Contract Rent 750 to 799,160.0,59.0,121.0,150.0,162.0,69.0,21.0,57.0,31.0,11.0,72.0,0.0,22.0,24.0,37.0,40.0
66,Housing Prices,Contract Rent 800 to 899,445.0,267.0,323.0,342.0,346.0,312.0,233.0,138.0,117.0,120.0,143.0,12.0,119.0,62.0,58.0,63.0
67,Housing Prices,Contract Rent 900 to 999,534.0,170.0,242.0,237.0,194.0,235.0,262.0,171.0,154.0,96.0,173.0,145.0,103.0,72.0,65.0,48.0
68,Housing Prices,Contract Rent Less than 100,0.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,17.0
69,Housing Prices,Contract Rent Total,4627.0,4136.0,4331.0,4489.0,4662.0,4898.0,4825.0,4857.0,4618.0,2287.0,4348.0,1718.0,4108.0,4101.0,4130.0,4166.0
70,Housing Prices,Contract Rent Total No cash Rent (ACS2015-),91.0,0.0,0.0,0.0,0.0,0.0,85.0,98.0,49.0,30.0,28.0,37.0,141.0,125.0,132.0,146.0
71,Housing Prices,"Contract Rent Total No cash Rent (No cash rent, DEC2000 and ACS2009-2014)",91.0,108.0,107.0,111.0,78.0,78.0,274.0,418.0,495.0,271.0,557.0,78.0,565.0,599.0,586.0,582.0
72,Housing Prices,Contract Rent Total With cash Rent,4536.0,4028.0,4224.0,4378.0,4584.0,4820.0,4740.0,4759.0,4569.0,2257.0,4320.0,1681.0,3967.0,3976.0,3998.0,4020.0
73,Housing Prices,Extremely Rent Burdened,0.1614437000216122,0.1813346228239845,0.180327868852459,0.2256627311205168,0.2192192192192192,0.1994691710902409,0.1970984455958549,0.2065060737080502,0.1844954525768731,0.1753388718845649,0.1453541858325667,0.2223515715948777,0.1672346640701071,0.1528895391367959,0.1709443099273608,0.2069131060969755
74,Housing Prices,Home Value 10000 to 14999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,30.0,21.0,0.0,0.0
75,Housing Prices,Home Value 100000 to 124999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,10.0
76,Housing Prices,"Home Value 1000000 to 1499999 (1000000 or more, DEC2000 and ACS2009-2014)",63.0,601.0,541.0,494.0,499.0,506.0,434.0,540.0,610.0,531.0,566.0,1371.0,661.0,697.0,620.0,513.0
77,Housing Prices,Home Value 125000 to 149999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Housing Prices,Home Value 15000 to 19999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Housing Prices,Home Value 150000 to 174999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Housing Prices,Home Value 1500000 to 1999999 (ACS2015-),,0.0,0.0,0.0,0.0,0.0,148.0,146.0,304.0,203.0,401.0,149.0,456.0,462.0,500.0,593.0
81,Housing Prices,Home Value 175000 to 199999,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Housing Prices,Home Value 20000 to 24999 ,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
83,Housing Prices,Home Value 200000 to 249999,21.0,9.0,0.0,0.0,8.0,9.0,11.0,15.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Housing Prices,Home Value 2000000 or more (ACS2015-),,0.0,0.0,0.0,0.0,0.0,131.0,214.0,223.0,156.0,389.0,6.0,357.0,463.0,503.0,484.0
85,Housing Prices,Home Value 25000 to 29999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Housing Prices,Home Value 250000 to 299999,48.0,48.0,32.0,32.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
87,Housing Prices,Home Value 30000 to 34999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Housing Prices,Home Value 300000 to 399999,245.0,19.0,21.0,32.0,27.0,46.0,56.0,68.0,48.0,46.0,14.0,37.0,0.0,0.0,0.0,2.0
89,Housing Prices,Home Value 35000 to 39999 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Housing Prices,Home Value 40000 to 49999 ,0.0,0.0,0.0,14.0,14.0,11.0,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
