,year,label,Category,Attribute,060501
197,2000,DEC_SF3,Language Spoken at Home,Asian/Pacific Islander,0.4216524216524216
198,2000,DEC_SF3,Language Spoken at Home,English Only,0.3219373219373219
199,2000,DEC_SF3,Language Spoken at Home,Other European Languages,0.0
200,2000,DEC_SF3,Language Spoken at Home,Other Languages,0.0
201,2000,DEC_SF3,Language Spoken at Home,Spanish Only,0.2564102564102564
202,2000,DEC_SF3,Nativity,Foreign Born,0.4985994397759103
203,2000,DEC_SF3,Population,Total Population,357.0
204,2000,DEC_SF3,Race/Ethnicity,Asian,154.0
205,2000,DEC_SF3,Race/Ethnicity,"Asian Alone, Not Hispanic or Latino",154.0
206,2000,DEC_SF3,Race/Ethnicity,Black/African American,28.0
207,2000,DEC_SF3,Race/Ethnicity,"Black/African American Alone, Not Hispanic or Latino",28.0
208,2000,DEC_SF3,Race/Ethnicity,Latino Population (of Any Race),175.0
209,2000,DEC_SF3,Race/Ethnicity,Native American Indian,0.0
210,2000,DEC_SF3,Race/Ethnicity,"Native American Indian Alone, Not Hispanic or Latino",0.0
211,2000,DEC_SF3,Race/Ethnicity,Native Hawaiian/Pacific Islander,0.0
212,2000,DEC_SF3,Race/Ethnicity,"Native Hawaiian/Pacific Islander Alone, Not Hispanic or Latino",0.0
213,2000,DEC_SF3,Race/Ethnicity,Other/Two or More Races,78.0
214,2000,DEC_SF3,Race/Ethnicity,"Population, Not Hispanic or Latino",182.0
215,2000,DEC_SF3,Race/Ethnicity,Some Other Race Alone,78.0
216,2000,DEC_SF3,Race/Ethnicity,"Some Other Race Alone, Not Hispanic or Latino",0.0
217,2000,DEC_SF3,Race/Ethnicity,Two Or More Races,0.0
218,2000,DEC_SF3,Race/Ethnicity,"Two Or More Races, Not Hispanic or Latino",0.0
219,2000,DEC_SF3,Race/Ethnicity,"White Alone, Not Hispanic or Latino",0.0
220,2000,DEC_SF3,Race/Ethnicity,"White, Including Hispanic or Latino",97.0
221,2000,DEC_SF3,Sex,Female,0.4481792717086835
222,2000,DEC_SF3,Sex,Male,0.5518207282913166
223,2000,DEC_SF3,Unit Size,1 Bedroom,45.0
224,2000,DEC_SF3,Unit Size,2 Bedrooms,33.0
225,2000,DEC_SF3,Unit Size,3-4 Bedrooms,8.0
226,2000,DEC_SF3,Unit Size,5 or More Bedrooms,0.0
227,2000,DEC_SF3,Unit Size,No Bedroom,0.0
228,2000,DEC_SF3,Vehicles Available,Households with no Vehicle,0.0
